939172681|AA|CCRN|Critical Care Registered Nurse|1|4|7|30|335:4
589066615|MMI|3.68|Surgical and medical procedures|C1948041|[topp]|["Procedure"-tx-9-"procedure"-noun-0]|TX|818/9|
589066615|MMI|3.61|combination - answer to question|C3811910|[fndg]|["Combination"-tx-7-"combination"-noun-0]|TX|545/11|
589066615|MMI|3.59|Entire hand|C1281583|[bpoc]|["Hand"-tx-4-"hand"-noun-0]|TX|405/4|
589066615|MMI|3.59|Occupational Therapist - hand|C1551142|[prog]|["Hand"-tx-4-"hand"-noun-0]|TX|405/4|
589066615|MMI|3.59|Physical Therapist - Hand|C1551156|[prog]|["Hand"-tx-4-"hand"-noun-0]|TX|405/4|
589066615|MMI|3.56|Manually|C3842330|[fndg]|["Manually"-tx-2-"manually"-adv-0]|TX|84/8|
589066615|MMI|3.55|private agency|C0679727|[orgt]|["Private"-tx-9-"private"-adj-0]|TX|845/7|
589066615|MMI|3.48|Platelet poor plasma (substance)|C0370219|[bdsu]|["PPP"-tx-10-"PPP"-noun-0]|TX|926/3|
589066615|MMI|3.42|Used by|C1273517|[fndg]|["used"-tx-4-"used"-adj-0]|TX|210/4|
589066615|MMI|3.40|Fasting Status Indicator|C2985769|[fndg]|["FAST"-tx-4-"faster"-adj-0]|TX|230/6|
1346738904|MMI|13.64|Patients|C0030705|[podg]|["*^patient"-tx-1-"Patient"-noun-0,"Patients"-tx-1-"patients"-noun-0]|TX|6/7;38/8|M01.643
1346738904|MMI|5.18|Empowered|C0562342|[menp]|["enables"-tx-1-"enables"-verb-0]|TX|30/7|
1346738904|MMI|5.18|Enabling|C1171285|[menp]|["enables"-tx-1-"enables"-verb-0]|TX|30/7|
1346738904|MMI|5.18|Feedback - evaluative response process|C2911691|[menp]|["Feedback"-tx-1-"feedback"-noun-0]|TX|115/8|
1346738904|MMI|3.61|Partner in relationship|C0682323|[famg]|["Companion"-tx-1-"Companion"-noun-0]|TX|20/9|
1346738904|MMI|3.47|Abortion consent:Finding:Point in time:^Patient:Document|C2360836|[clna]|["Patient"-tx-1-"Patient"-noun-0]|TX|6/7|
1346738904|MMI|3.47|Cataract, total congenital with posterior sutural opacities in Heterozygotes|C4049005|[cgab]|["CCT"-tx-1-"CCT"-noun-0]|TX|1/3|
1346738904|MMI|3.47|Hysterectomy consent:Finding:Point in time:^Patient:Document|C2360838|[clna]|["Patient"-tx-1-"Patient"-noun-0]|TX|6/7|
1346738904|MMI|3.47|Sterilization consent:Finding:Point in time:^Patient:Document|C2360840|[clna]|["Patient"-tx-1-"Patient"-noun-0]|TX|6/7|
1186846022|AA|HIV-1|human immunodeficiency virus type 1|3|5|9|35|465:5
1186846022|AA|M&I|Microbiology and Immunology|3|3|5|27|2359:3
1186846022|MMI|92.60|HIV-1|C0019704|[virs]|["Human immunodeficiency virus type 1"-tx-12-"HIV-1"-noun-0,"Human immunodeficiency virus type 1"-tx-8-"HIV-1"-noun-0,"Human immunodeficiency virus type 1"-tx-6-"HIV-1"-noun-0,"Human immunodeficiency virus type 1"-tx-1-"human immunodeficiency virus type 1"-noun-0]|TX|2006/5;1584/5;1377/5;428/35|B04.820.650.589.650.350.400
1186846022|MMI|83.83|Science of Microbiology|C0025952|[bmod]|["Microbiology"-tx-15-"Microbiology"-noun-0,"Microbiology"-tx-14-"M&I"-noun-0,"Microbiology"-tx-14-"Microbiology"-noun-0]|TX|3337/12;[2597/3],[2782/3],[2874/3],[3042/3];2330/12|H01.158.273.540
1186846022|MMI|76.16|Universities|C0041740|[mnob,orgt]|["University"-tx-17-"University"-noun-0,"University"-tx-15-"University"-noun-0,"University"-tx-14-"University"-noun-0,"University"-tx-5-"University"-noun-0]|TX|3605/10;3400/10;[2461/10],[2681/10],[2929/10],[3094/10];1196/10|I02.783.830
1186846022|MMI|68.43|Learning|C0023185|[menp]|["Learning"-tx-9-"learning"-adj-0,"Learning"-tx-6-"learning"-noun-0,"Learning"-tx-5-"Learning"-adj-0,"learn"-tx-4-"Learn"-verb-0,"learn"-tx-2-"learn"-verb-0]|TX|1670/8;1331/8;1042/8;827/5;537/5|F02.463.425;F02.784.629.529
1186846022|MMI|63.44|Immunology|C0152036|[bmod]|["IMMUNOLOGY"-tx-15-"Immunology"-noun-0,"IMMUNOLOGY"-tx-14-"Immunology"-noun-0,"IMMUNOLOGY"-tx-14-"M&I"-noun-0]|TX|3354/10;2347/10;[2597/3],[2782/3],[2874/3],[3042/3]|H02.403.044
1186846022|MMI|45.63|T-Lymphocyte|C0039194|[cell]|["T cells"-tx-12-"T cells"-noun-0,"T cells"-tx-11-"T cells"-noun-0]|TX|2030/7;1844/7|A11.118.637.555.567.569;A15.145.229.637.555.567.569;A15.382.490.555.567.569
1186846022|MMI|39.24|game|C0150593|[dora]|["game"-tx-15-"Game"-noun-0,"game"-tx-15-"game"-noun-0,"game"-tx-14-"Game"-noun-0,"game"-tx-8-"game"-noun-0,"games"-tx-5-"games"-verb-0,"game"-tx-4-"game"-noun-0,"game"-tx-2-"game"-noun-0,"game"-tx-1-"game"-noun-0,"games"-tx-1-"games"-verb-0]|TX|3427/4;3470/4;2889/4;1620/4;1101/5;882/4;520/4;384/4;176/5|
1186846022|MMI|39.05|Molecular Medicine|C1513397|[bmod]|["Molecular Medicine"-tx-14-"Molecular Medicine"-noun-0,"Molecular Medicine"-tx-5-"Molecular Medicine"-noun-0]|TX|2403/18;1144/18|H01.158.201.636.475;H01.158.273.343.595.475;H01.181.122.650.475;H02.403.530
1186846022|MMI|38.73|HIV|C0019682|[virs]|["HIV"-tx-2-"HIV"-noun-0,"HIV"-tx-1-"HIV"-noun-0]|TX|567/3;65/3|B04.820.650.589.650.350
1186846022|MMI|38.73|HIV Seropositivity|C0019699|[lbtr]|["HIV+"-tx-2-"HIV"-noun-0,"HIV+"-tx-1-"HIV"-noun-0]|TX|567/3;65/3|C02.782.815.616.400.500;C02.800.801.400.500;C20.673.480.500
1186846022|MMI|32.38|HIV Infections|C0019693|[dsyn]|["HIV"-tx-2-"HIV"-noun-0,"HIV"-tx-1-"HIV"-noun-0]|TX|567/3;65/3|C02.782.815.616.400;C02.800.801.400;C20.673.480
1186846022|MMI|32.37|CD4 Expressing Cell Count|C3541261|[lbpr]|["CD4"-tx-11-"CD4"-noun-0,"CD4"-tx-9-"CD4"-noun-0,"CD4"-tx-6-"CD4"-noun-0,"CD4"-tx-5-"CD4"-noun-0,"CD4"-tx-4-"CD4"-noun-0,"CD4"-tx-3-"CD4"-noun-0,"CD4"-tx-1-"CD4"-noun-0]|TX|1839/3;1626/3;1293/3;1057/3;803/3;641/3;[79/3],[339/3]|
1186846022|MMI|32.35|Fasting|C0015663|[fndg]|["Fast"-tx-4-"fast"-adv-0,"Fast"-tx-1-"fast"-adj-0]|TX|857/4;355/4|F01.145.407.400;G07.203.650.240.587;G07.203.650.353.400
1186846022|MMI|30.48|Communicable Diseases|C0009450|[dsyn]|["Infectious Disease"-tx-14-"Infectious Disease"-noun-0,"Infectious Disease"-tx-5-"infectious disease"-noun-0,"Infection, NOS"-tx-4-"infection"-noun-0]|TX|2426/18;1273/18;1032/9|C01.539.221
1186846022|MMI|29.46|Play|C0032214|[dora]|["Play"-tx-4-"play"-verb-0,"Play"-tx-2-"play"-verb-0]|TX|887/4;525/4|I03.450.642.693
1186846022|MMI|28.41|hunter|C0239971|[prog]|["HUNTER"-tx-9-"Hunter"-noun-0,"HUNTER"-tx-6-"Hunter"-noun-0,"HUNTER"-tx-5-"Hunter"-noun-0,"HUNTER"-tx-4-"Hunter"-noun-0,"HUNTER"-tx-3-"Hunter"-noun-0,"HUNTER"-tx-1-"Hunter"-noun-0]|TX|1630/6;1297/6;1061/6;807/6;645/6;[83/6],[343/6]|
1186846022|MMI|26.74|Blood Circulation|C0005775|[phsf]|["Bloodstream"-tx-4-"bloodstream"-noun-0,"Bloodstream"-tx-3-"bloodstream"-noun-0]|TX|927/11;681/11|G09.330.190.163
1186846022|MMI|25.96|ethylene diurea|C0059804|[orch,phsu]|["EDU"-tx-15-"edu"-noun-0,"EDU"-tx-1-"edu"-noun-0]|TX|3516/3;316/3|x.x.x.x
1186846022|MMI|22.67|Microbiology procedure|C0085672|[lbpr]|["Microbiology"-tx-15-"Microbiology"-noun-0,"Microbiology"-tx-14-"M&I"-noun-0,"Microbiology"-tx-14-"Microbiology"-noun-0]|TX|3337/12;[2597/3],[2782/3],[2874/3],[3042/3];2330/12|
1186846022|MMI|22.48|Running (physical activity)|C0035953|[dora]|["run"-tx-1-"run"-verb-0]|TX|139/3|G11.427.590.530.568.610;G11.427.590.530.698.277.750;I03.350.750;I03.450.642.845.610
1186846022|MMI|20.65|Arts|C0003826|[ocdi]|["Art"-tx-14-"Art"-noun-0,"Arts"-tx-14-"Arts"-noun-0]|TX|2894/3;[2957/4],[3122/4]|K01.093
1186846022|MMI|20.29|Science|C0036397|[ocdi]|["Science"-tx-7-"science"-noun-0,"Science"-tx-4-"science"-noun-0,"Science"-tx-2-"science"-noun-0]|TX|1475/7;841/7;498/7|H01.770
1186846022|MMI|19.87|Institutes|C0021622|[orgt]|["institute"-tx-14-"Institute"-noun-0,"institute"-tx-5-"Institute"-noun-0]|TX|2389/9;1130/9|N03.540.052
1186846022|MMI|19.64|Tunica Media|C0162867|[tisu]|["Media"-tx-14-"Media"-noun-0]|TX|[2951/5],[3116/5]|A07.231.733
1186846022|MMI|16.24|Institute of Medicine (U.S.)|C0021621|[hcro]|["institute medicine"-tx-14-"Institute Medicine"-noun-0]|TX|2389/9,2413/8|N03.540.052.500.500
1186846022|MMI|16.07|Addictive Behavior|C0085281|[mobd]|["addictions"-tx-4-"addictive"-adj-0]|TX|872/9|F01.145.527.100.120
1186846022|MMI|14.64|Dietary Supplements|C0242295|[food]|["Supplement"-tx-6-"supplement"-verb-0]|TX|1320/10|G07.203.300.456;J02.500.456
1186846022|MMI|13.90|Immune system|C0020962|[bdsy]|["Immune System"-tx-4-"immune system"-noun-0,"Immune System"-tx-3-"immune system"-noun-0]|TX|1011/13;779/13|A15.382
1186846022|MMI|13.06|Virus Attachment|C1721019|[biof]|["Virus Binding"-tx-12-"viral binding"-noun-0]|TX|2105/13|G06.590.875.715;G06.920.875.715
1186846022|MMI|13.05|Infectious Disease Medicine|C1273849|[bmod]|["Medicine.infectious disease"-tx-5-"Infectious Disease Medicine"-noun-0]|TX|1167/18,1218/8|H02.403.429.480
1186846022|MMI|13.03|First Step|C1722730|[bodm]|["First Step"-tx-2-"first step"-noun-0]|TX|553/10|x.x.x.x
1186846022|MMI|13.00|Immune Evasion|C1654934|[orgf]|["Immune Evasion"-tx-13-"immune evasion"-noun-0]|TX|2168/14|G06.590.470.400;G12.425.700;G16.100.380.700
1186846022|MMI|12.94|Viral Tropism|C2717801|[phsf]|["Viral Tropism"-tx-13-"viral tropism"-noun-0]|TX|2150/13|G06.590.875.712;G06.920.875.712
1186846022|MMI|12.90|physiological aspects|C0031843|[phsf]|["function"-tx-10-"function"-noun-0]|TX|1776/8|x.x.x.x
1186846022|MMI|10.87|Department|C1704729|[orgt]|["Department"-tx-15-"Department"-noun-0,"Department"-tx-14-"Department"-noun-0]|TX|3365/10;[2316/10],[2768/10]|
1186846022|MMI|10.83|Leptocyte|C0221284|[cell]|["TARGET CELLS"-tx-4-"target cells"-noun-0,"TARGET CELLS"-tx-3-"target cells"-noun-0,"TARGET CELLS"-tx-1-"target cells"-noun-0]|TX|901/12;747/12;100/12|
1186846022|MMI|10.83|Target Cell Count|C3272919|[lbpr]|["Target Cells"-tx-4-"target cells"-noun-0,"Target Cells"-tx-3-"target cells"-noun-0,"Target Cells"-tx-1-"target cells"-noun-0]|TX|901/12;747/12;100/12|
1186846022|MMI|10.83|target cells (lab result)|C2939170|[lbtr]|["Target cells"-tx-4-"target cells"-noun-0,"Target cells"-tx-3-"target cells"-noun-0,"Target cells"-tx-1-"target cells"-noun-0]|TX|901/12;747/12;100/12|
1186846022|MMI|10.42|Does play|C0600138|[fndg]|["play"-tx-4-"play"-verb-0,"play"-tx-2-"play"-verb-0]|TX|887/4;525/4|
1186846022|MMI|9.95|Program Development|C0033333|[hlca]|["Programme development"-tx-14-"Program Development"-noun-0]|TX|2644/19|N04.452.760
1186846022|MMI|8.34|Infection|C3714514|[patf]|["INFECTION"-tx-4-"infection"-noun-0]|TX|1032/9|C01.539
1186846022|MMI|7.56|Immune System Finding|C1291764|[fndg]|["IMMUNE SYSTEM"-tx-4-"immune system"-noun-0,"IMMUNE SYSTEM"-tx-3-"immune system"-noun-0]|TX|1011/13;779/13|
1186846022|MMI|7.22|Infected|C0439663|[fndg]|["infecting"-tx-3-"infecting"-noun-0,"infect"-tx-1-"infect"-verb-0]|TX|728/9;121/6|
1186846022|MMI|7.19|Human immunodeficiency virus I infection|C0276500|[dsyn]|["Human Immunodeficiency Virus Type 1 infection"-tx-13-"HIV-1 infection"-noun-0,"Human Immunodeficiency Virus Type 1 infection"-tx-11-"HIV-1 infection"-noun-0]|TX|2210/15;1867/15|
1186846022|MMI|7.04|executives|C0871735|[prog]|["executive"-tx-14-"Executive"-noun-0]|TX|[2258/9],[2369/9]|
1186846022|MMI|6.97|Fasting Status Indicator|C2985769|[fndg]|["FAST"-tx-4-"fast"-adv-0,"FAST"-tx-1-"fast"-adj-0]|TX|857/4;355/4|
1186846022|MMI|6.95|Media layer|C1254021|[tisu]|["Media"-tx-14-"Media"-noun-0]|TX|[2951/5],[3116/5]|
1186846022|MMI|6.89|Mini|C0445542|[orga]|["Mini"-tx-5-"mini"-noun-0,"Mini"-tx-1-"mini"-noun-0]|TX|1096/4;379/4|
1186846022|MMI|6.62|Biological Processes|C3714634|[biof]|["Biological Processes"-tx-8-"biological processes"-noun-0]|TX|1547/20|G16.100
1186846022|MMI|5.18|1+|C3816745|[fndg]|["1+"-tx-9-"1"-integer-0]|TX|1690/1|
1186846022|MMI|5.18|C-C Chemokine Receptor Type 5 Measurement|C4050218|[lbpr]|["CCR5"-tx-12-"CCR5"-noun-0]|TX|2064/4|
1186846022|MMI|5.18|Feedback - evaluative response process|C2911691|[menp]|["Feedback"-tx-16-"feedback"-noun-0]|TX|3533/8|
1186846022|MMI|5.18|Fixation - action|C0185023|[topp]|["Attachment"-tx-2-"attachment"-noun-0]|TX|629/10|
1186846022|MMI|5.18|fascinate|C2945653|[bhvr]|["fascinating"-tx-2-"fascinating"-verb-0]|TX|574/11|
1186846022|MMI|3.75|Viral Pathogenesis|C1520005|[patf]|["Viral Pathogenesis"-tx-11-"viral pathogenesis"-noun-0]|TX|1933/18|
1186846022|MMI|3.60|time out|C0871938|[menp]|["time out"-tx-1-"out time"-noun-0]|TX|143/3,150/4|
1186846022|MMI|3.59|intended - ParticipationSignature|C1551357|[fndg]|["intended"-tx-7-"intended"-verb-0]|TX|1444/8|
1186846022|MMI|3.59|Tester device|C0183885|[medd]|["testers"-tx-15-"Testers"-noun-0]|TX|3329/7|
1186846022|MMI|3.58|viral process|C3853734|[biof]|["viral process"-tx-10-"process viral"-noun-0]|TX|1792/7,1803/5|
1186846022|MMI|3.57|Advance -- medical device|C0725066|[medd]|["Advance"-tx-8-"advance"-verb-0]|TX|1605/7|
1186846022|MMI|3.57|Center of town|C3810851|[fndg]|["Center"-tx-14-"Center"-noun-0]|TX|2620/6|
1186846022|MMI|3.56|Does run (finding)|C0600140|[fndg]|["run"-tx-1-"run"-verb-0]|TX|139/3|
1186846022|MMI|3.56|History of recreational running|C2346414|[fndg]|["Run"-tx-1-"run"-verb-0]|TX|139/3|
1186846022|MMI|3.56|Observation of attack|C1304680|[fndg]|["attacks"-tx-4-"attacks"-verb-0]|TX|996/7|
1186846022|MMI|3.55|college teachers|C0599518|[prog]|["Professor"-tx-14-"Professor"-noun-0]|TX|2584/9|
1186846022|MMI|3.54|Supernumerary maxillary right third molar|C1552115|[bpoc]|["1s"-tx-2-"1s"-noun-0]|TX|571/2|
1186846022|MMI|3.54|Microorganism|C0445623|[orgm]|["Microbe"-tx-1-"microbes"-noun-0]|TX|194/8|
1186846022|MMI|3.54|Take|C1515187|[hlca]|["Take"-tx-1-"take"-verb-0]|TX|406/4|
1186846022|MMI|3.53|internal-external locus of control scale|C0683454|[diap,inpr]|["I-E"-tx-12-"i.e"-adj-0]|TX|2013/3|
1186846022|MMI|3.50|production|C0033268|[ocac]|["Production"-tx-14-"Production"-noun-0]|TX|2902/10|
1186846022|MMI|3.46|Supervisor (Computer)|C2348608|[prog]|["Supervisor"-tx-14-"Supervisor"-noun-0]|TX|2525/10|
1186846022|MMI|3.46|Supervisor (occupation)|C0403172|[prog]|["Supervisor NOS"-tx-14-"Supervisor"-noun-0]|TX|2525/10|
1186846022|MMI|3.44|Company (organization)|C0683757|[mnob,orgt]|["Business"-tx-14-"Business"-noun-0]|TX|2631/8|
1186846022|MMI|3.44|Reporting|C0700287|[hlca]|["Reporting"-tx-15-"reporting"-noun-0]|TX|3478/9|
1186846022|MMI|3.44|business career|C0085936|[ocac]|["Business"-tx-14-"Business"-noun-0]|TX|2631/8|
1186846022|MMI|3.43|Educational Psychologist|C0587721|[prog]|["Educational"-tx-1-"educational"-adj-0]|TX|367/11|
1186846022|MMI|3.42|Biomedicine|C1879848|[bmod]|["Biomedical"-tx-7-"biomedical"-noun-0]|TX|1464/10|
1186846022|MMI|3.42|Brown color|C0678579|[npop]|["BROWN"-tx-14-"Brown"-noun-0]|TX|2737/5|
1186846022|MMI|3.42|Cells|C0007634|[cell]|["Cells"-tx-3-"cells"-noun-0]|TX|754/5|A11
1186846022|MMI|3.42|Cells [Chemical/Ingredient]|C3282337|[cell]|["Cells"-tx-3-"cells"-noun-0]|TX|754/5|
1186846022|MMI|3.42|Tumor stage|C1300072|[clna]|["Stage"-tx-6-"stage"-adj-0]|TX|1356/5|
1186846022|MMI|3.42|bony process|C1184743|[bpoc]|["Process"-tx-6-"process"-noun-0]|TX|1362/7|
1186846022|MMI|3.41|Target Lesion Identification|C2986546|[diap]|["TARGET"-tx-11-"targets"-noun-0]|TX|1855/7|
1313908964|MMI|100.71|N,N-diethylaminoethyl(2-N-methyl)benzoate|C0613749|[orch,phsu]|["DANB"-tx-1-"DANB"-noun-0]|TX|[9/4],[92/4],[264/4],[377/4],[481/4],[531/4],[698/4]|x.x.x.x
1313908964|MMI|59.03|Dental Assistants|C0011327|[prog]|["Assistant"-tx-1-"assistants"-noun-0,"DENTAL ASSISTANTS"-tx-1-"dental assistants"-noun-0]|TX|345/10;[425/17],[671/17]|M01.526.485.067.105.250;N02.360.067.105.250
1313908964|MMI|14.68|Medical Examination|C0582103|[hlca]|["Exam"-tx-1-"Exam"-noun-0,"Exam"-tx-1-"exams"-noun-0]|TX|[752/4],[1169/4];[127/5],[134/5]|
1313908964|MMI|14.64|Dentist|C0011441|[prog]|["DENTISTS"-tx-1-"dentists"-noun-0]|TX|624/8|M01.526.485.330;N02.360.330
1313908964|MMI|14.64|Learning|C0023185|[menp]|["learn"-tx-1-"Learn"-verb-0]|TX|1101/5|F02.463.425;F02.784.629.529
1313908964|MMI|14.64|Personnel Selection|C0031222|[ocac]|["hire"-tx-1-"hire"-verb-0]|TX|666/4|N04.452.677.500
1313908964|MMI|9.74|Occupations|C0028811|[ocdi]|["Job"-tx-1-"job"-noun-0]|TX|461/3|N01.824.547
1313908964|MMI|9.73|Dental Health Services|C0011365|[hlca]|["Dental"-tx-1-"dental"-adj-0]|TX|557/6|N02.421.240
1313908964|MMI|7.22|Employer|C1274022|[prog]|["employers"-tx-1-"Employers"-noun-0,"employers"-tx-1-"employers"-noun-0]|TX|444/9;637/9|
1313908964|MMI|6.92|Assisting (procedure)|C0557034|[hlca]|["Assisting"-tx-1-"assisting"-adj-0]|TX|[220/9],[564/9]|
1313908964|MMI|5.18|Provide (product)|C0359589|[food]|["provides"-tx-1-"provides"-verb-0]|TX|590/8|
1313908964|MMI|5.18|Transportation Services - Train|C1552514|[orgt]|["Train"-tx-1-"Train"-noun-0]|TX|1109/5|
1313908964|MMI|3.98|Personal appearance|C0233426|[orga]|["look"-tx-1-"looking"-verb-0]|TX|655/7|
1313908964|MMI|3.67|Dental examination|C0750862|[diap]|["dental exams"-tx-1-"dental exams"-noun-0]|TX|213/6,230/5|
1313908964|MMI|3.56|One-Step dentin bonding system|C0534010|[bodm,orch]|["step one"-tx-1-"one steps"-noun-0]|TX|31/3,57/5|
1313908964|MMI|3.56|Agencies|C0237463|[orgt]|["Agency"-tx-1-"Agency"-noun-0]|TX|1156/6|
1313908964|MMI|3.56|Take|C1515187|[hlca]|["Take"-tx-1-"take"-verb-0]|TX|71/4|
1313908964|MMI|3.56|career|C0178534|[ocac]|["career"-tx-1-"career"-noun-0]|TX|84/6|
1313908964|MMI|3.50|virtual patient encounter|C1553497|[hlca]|["virtual"-tx-1-"Virtual"-adj-0]|TX|764/7|
901793503|AA|CDAI|crohn's disease activity index|1|4|7|30|53:4
901793503|MMI|32.41|Crohn Disease|C0010346|[dsyn]|["-- Crohn's Disease"-tx-6-"Crohn's disease"-noun-0,"-- Crohn's Disease"-tx-1-"crohn's disease"-noun-0]|TX|748/15;131/15|C06.405.205.731.500;C06.405.469.432.500
901793503|MMI|20.23|Gauge (physical object)|C3854336|[medd]|["Gauge"-tx-7-"gauge"-noun-0,"Gauge"-tx-4-"gauge"-noun-0,"Gauge"-tx-3-"gauge"-noun-0,"Gauge"-tx-2-"gauge"-verb-0,"Gauge"-tx-1-"gauge"-verb-0]|TX|825/5;678/5;633/5;426/5;76/5|
901793503|MMI|16.18|Reading (activity)|C0034754|[dora]|["Readings"-tx-2-"readings"-noun-0]|TX|459/8|L01.143.506.423.557
901793503|MMI|11.49|Research Personnel|C0035173|[prog]|["Researchers"-tx-1-"researchers"-noun-0]|TX|310/11|M01.526.839
901793503|MMI|10.42|internal-external locus of control scale|C0683454|[diap,inpr]|["I-E"-tx-7-"i.e"-adj-0,"I-E"-tx-2-"i.e"-adj-0]|TX|844/3;446/3|
901793503|MMI|9.90|Disease|C0012634|[dsyn]|["condition"-tx-6-"conditions"-noun-0]|TX|764/10|C23.550.288
901793503|MMI|7.53|ADHD hyperactive symptoms mean score:Score:Pt:^Patient:Qn:Calculated|C4050231|[clna]|["Score"-tx-4-"score"-noun-0,"Score"-tx-1-"scores"-verb-0]|TX|666/5;202/6|
