ID	Name	URL	Category	Description	NC 1/0				Notes	
1214286140	Phyzii Mobile	https://itunes.apple.com/us/app/phyzii-mobile/id1214286140?mt=8	Medical	Cirrius Wireless Enterprise Platform (CWEP) is a software application used to monitor sales force operations and enable them to prepare for doctor calls, detail products to doctors and report activities on their mobile devices from the field anytime anywhere. This Platform empowers the rep with information on fingertips before, during and after the doctor call. It enables the rep to report call by call by using his waiting time in the clinic. Managers can access real-time data to take informed tactical and strategic decisions.The new version includes the correction in the link from where the data for every module is to be downloaded.Initially user will be presented with the configuration screen, on hitting the configure button, an Http request is made to our server for authentication of the user. Then user gets an alert that it will take 30 - 45 minutes to configure and on clicking OK, the data downloading will begin for all modules.Once the user configures successfully, he will be allowed to login and then he will have access to the various modules of the app.Note:Phyzii Mobile enables medical reps to digitally detail medical content to physicians and manage all other activities to improve effectiveness and productivity.	0	ACROSS	SENSORY		Figata questa app	
676180471	Brushing Up	https://itunes.apple.com/us/app/brushing-up/id676180471?mt=8	Medical	This new app, sponsored by Cambridge Labs (a division of Alliance Pharmaceuticals Ltd), has been developed as an interactive resource to assist patients who experience oral mucositis as a result of their cancer treatment, providing information and help in managing the condition. The app contains an Oral Hygiene Tracker to assist patients when embarking upon a new oral health routine.	0	DENTISTRY	ONCOLOGY		Questa ha a che fare fortemente con trattamenti di salute orale, però per malati di cancro per quello ho messo anche oncologia	
1140701840	SomaSole	https://itunes.apple.com/us/app/somasole/id1140701840?mt=8	Health&Fitness	"**FREE ACCESS TO ALL SOMASOLE WORKOUTS AVAILABLE FOR A LIMITED TIME ONLY**Staying healthy is easier than ever with the SomaSole App. Built by Stanford Designers and top level athletes and trainers, this educational platform will allow you to maximize the use of SomaSole products to get you in the best shape of your life. Utilizing the unique nature of the SomaSole and Links, this app is comprised of original content that is unlike anything else in fitness. Whether you are on a business trip, at home with the kids, or in the gym, you can utilize this app to get the most out of the time you have for fitness.The SomaSole app includes easily accessible workouts in two different formats; Timed routines for a faster-paced, HIIT style workout as well as At Your Own Pace routines for a more leisurely guided workout. For both the client and the trainer, these routines will get you the workout you have been looking for. Also included in the app is an extensive movement library which breaks down hundreds of SomaSole movements, each including a live image for visual aid and written breakdowns for a clearer understanding.Along with the formatted workouts and movements, the SomaSole app contains fresh educational fitness videos as well as professional lifestyle tips. Throughout the week, new videos are released showing creative ways to integrate SomaSole into your routine as well as life-hacks to becoming a healthier version of yourself.If you refuse to let life get in the way of building the confidence youve always wanted, but you just need a little help, this app is the key. Download it and get to work with SomaSole. You deserve it."	1				Parla solo di allenamenti, non me la sono sentita di metterla medical in sensory system, per me non è medical	sono d'accordo 
1114647244	Lab Essentials Â– Medical Lab Values & Tests Reference	https://itunes.apple.com/us/app/lab-essentials-medical-lab-values-tests-reference/id1114647244?mt=8	Medical	LabGear is the most advanced pocket tool for Medical Laboratory tests with peer reviewed content for all health care professionals - students, physicians, nurses and is now with iCloud sync. Comprehensive library of medical lab tests with differential diagnosis, related symptoms Fishbones schematics for Preset testing panels Systems: Hematology (Blood Tests), Hormones, Cardiovascular, Pulmonary, Gastrointestinal, Nephrology, Tumor Markers, Pregnancy, Immunology Chemistry Panels: Basic Metabolic Panel, Comprehensive Metabolic Panel, Complete blood Picture, Arterial Blood Gases, Liver Panel, Lipid Profile, Coagulation Profile, Diabetic Profile, Urinalysis Based On Testing source/specimen- Urine Sample- Cerebrospinal Fluid- Amniotic Fluid- Other Body fluids Based on Lab Type:- Electrolytes & Metabolites- Enzymes- Lipids- All Proteins- White Blood Cells- References citations with links to PubMed- Intuitive User Interface:- Quick Jumps via Tag buttons showing you Lab abbreviation- Quick Switch between Conventional (US) Units or SI Units. - Tapping Reference Range in Lab detail reveals both US/SI value- NOTES: Add your own Notes to specific lab tests- MedCalc Linkage (LabGear is linked with MedCalc app). Jump from Serum Sodium to Sodium Infusion rate calculation in MedCalc app- RANDOM Lab refreshes for Leisure LearningAvailable via In-App Purchase----------------------------Lab  Reports Have -  Brief Laboratory Test Description-  Conditions with High referrence range (if applicable)-  Conditions with Low range                      (if applicable)-  Reference Range with US / SI Units-  Presentation / Symptoms / Signs-  Wiki Links (For more information) *-  External search webresults *- Intelligent Universal SearchSearch either tags like 'Glu', 'AST', 'Ca', 'Na', 'K+' are fully searchable and bring up all related lab results.Scroll while you search. DISCLAIMER: The information provided in this application is strictly for educational purposes only and  is not intended or implied to be a substitute for professional medical advice, diagnosis or treatment. Please use this application only if you accept the disclaimer within the application. Consult with a recognized medical professional before making decisions based on information included in this application*NOTE: Active Internet Connection is required either in the form of Wifi or cellular data plan (3G/EDGE/Etc.) to access Wiki/External pages.please send your suggestions to support [ a t ] smartddx [dot] comstay tuned to twitter.com/MedicalGear	0	ACROSS	SENSORY			
1082344081	Omantel Safeture	https://itunes.apple.com/us/app/omantel-safeture/id1082344081?mt=8	Medical	"Omantel Safeture: Keeping you safe on your travels, a Global Warning System (GWS) serviceOmantel Safeture is a personal safety and early travel warning solution that provides real-time status on warnings, alerts, and localized security information wherever you are including local SOS emergency numbers.Omantel Safeture lets you alert your friends and family and give them a real-time trail of your movements when you are walking home in an unfamiliar environment. GWS have for several years provided International Businesses, NGOs and Government Agencies with high-end travel security and convenience through their apps. Now you can have it too.The Omantel Safeture app for leisure travelers is based on the same groundbreaking positioning and warning information technology that made GWS successful, while adding features more relevant to the casual leisure traveler. The technology automatically filters warnings and information such as dangerous environmental disasters, civil unrest , disease outbreaks and terrorist attacks to you based on where you are in the world or where you are going. This means relevant real-time warning information before anyone else, avoiding spam information.The app keeps you and your loved ones safe and avoid threats while staying in touch wherever you are. Share your position, get local alerts and warnings, stay connected to your friends and family, and get automated local advice when arriving at a new destination.Omantel Safeture means: * Fast information: You and/or your loved ones get alerts and warnings before anyone else and may avoid safety threats, travel delays, fires, extreme weather such as tsunamis, flash floods, natural disasters, civil unrest, terrorism etc. when travelling* Peace of mind: Allows you to follow the whereabouts of family or friends that are touring the world and them to follow you* In the know, on the go: Local news in English, country general safety and trip advice, local SOS and emergency numbers; all automated based on real-time locationBattery disclaimer:Safeture relies on continued use of GPS running in the background which can dramatically decrease battery life. However due to smart throttling of the GPS the impact is reduced to a minimum."	0	EMERGENCY				
1330980884	Holistic Future 4	https://itunes.apple.com/us/app/holistic-future-4/id1330980884?mt=8	Medical	"Upcoming Medical Conference "" Holistic View to the Future IV"". Organized by Al Sabah Hospital, Pediatric Department, Kuwaiti Pediatric League ( Kuwait Medical Association) and Kuwait Pediatric Group (KPG). Our conference has been accredited for 19 CME points Category 1. Topics include Medical communication, pediatric emergency, pediatric hematology & oncology, pediatric cardiology, skilled medical communication, gastroentrology, metabolic, infection, radiology, neurology and movement disorders."	1				Parla di una conferenza con argomenti includono comunicazione medica, emergenza pediatrica, ematologia pediatrica e oncologia, cardiologia pediatrica, comunicazioni mediche specialistiche, gastroenterologia, metaboliche, infezioni, radiologia, neurologia e disturbi del movimento. ma non me la sono sentita di metterla medical	sono d'accordo 
918662204	YouCallMD	https://itunes.apple.com/us/app/youcallmd/id918662204?mt=8	Medical	YouCallMD is a comprehensive medical answering service with workflows that fully automate communications or have communications tracked and followed up on by a live patient communication specialist. YouCallMD has you covered with a HIPAA compliant application for iPhone and iPad. Our COMS (Cognitive On-call Messaging System) technology is fully integrated with the YouCallMD scheduling system and can be customized to fit your practice workflows. YouCallMD clients are Acute / Post Acute / SNF facilities, as well as Hospitalist groups, Specialty groups, and PCPs. We excel over our competition by integrating the networks of facilities and physicians to streamline, secure, and expedite patient care communications. For more information regarding YouCallMD services, please contact info@youcalmd.com or toll free: (800) 909-9263.	0	ACROSS	EMERGENCY			
1127489353	SentactMobile	https://itunes.apple.com/us/app/sentactmobile/id1127489353?mt=8	Medical	Using SentactMobile, hospitals and healthcare organizations can improve quality, improve safety, and improve the patient experience.  The functionality in SentactMobile is designed to work in conjunction with our SentactRounding and SentactOnDemand applications. While in the field, staff can complete rounds more efficiently, as well as identify and perform corrective actions.   Our OnDemand features allow users to view and update request tickets in real-time improving processes and productivity.	0	ACROSS			è un tripadvisor degli ospedali per migliorare qualità	
1331972889	UMC Victoria Hospital	https://itunes.apple.com/us/app/umc-victoria-hospital/id1331972889?mt=8	Medical	UMC Victoria Hospital is an integrated healthcare delivery provider in Uganda providing high quality medical and nursing services across a wide range of specialties.	0	ACROSS			Fornisce servizi di vario genere di ampia gamma di specialità	
1206342925	OneGalaxy Ieris	https://itunes.apple.com/us/app/onegalaxy-ieris/id1206342925?mt=8	Medical	This tool is a service for pharmaceutical companies wishing to monitor their field force or medical representatives visits and transactions to their HCPs. MedReps input their activities in an online manner or offline manner: customised iOS app with their credentials.	0	ACROSS	SENSORY SYSTEM		Strumento per aziende farmaceutiche che desiderano monitorare le visite	
1121366132	MedUltra	https://itunes.apple.com/us/app/medultra/id1121366132?mt=8	Medical	Question: As an ultrasound practitioner, how many measurements do you have to process on a daily basis, and how many ultrasound reports do you need to create? How many tables from books and scientific articles do you need to endure?Enough questions. Medultra IS the answer!Medultra is the brainchild of a passionate Brazilian Radiologist. This groundbreaking app has been designed exclusively for radiologists, radiology trainees, sonologists, sonographers, and any other health professional dealing with ultrasound. Now, you can streamline the traditionally cumbersome approach, INSTANTLY accessing mountains of measurements in just TWO clicks  NOT hundreds of pages!Medultra is the result of MONTHS of hard-work and research. We studied 80+ scientific articles and 70+ measurements, so you dont have to. All of these are now available in ONE intuitive app with about 117 illustrative pictures among ultrasound images, vectorial and explanatory drawings!Havent heard of anything like Medultra before? Thats because its the first of its kind enjoying growing popularity in Brazil as one of the TOP medical apps!Simplify and streamline your daily tasks by purchasing Medultra today.	0	SENSORY SYSTEM			App per riadologia	
1292271145	Natl Transgender Health Summit	https://itunes.apple.com/us/app/natl-transgender-health-summit/id1292271145?mt=8	Medical	**FOR ATTENDEES ONLY**The Natl Transgender Health Summit mobile application allows you to view the schedule, presentations, posters, exhibitors, and speaker details from the conference. Users can take notes adjacent available presentation slides and draw directly on slides inside the app. Additionally, users can share information with attendees and colleagues with in-app messaging, tweeting, and emailing.	1				Per me non è medica parla di presentazioni e conferenze	sono d'accordo 
925477898	AFIB Checkup	https://itunes.apple.com/us/app/afib-checkup/id925477898?mt=8	Medical	Afib Checkup, an efficient point of care app for Atrial Fibrillation, allows medical professionals to quickly and accurately assess stroke risk, bleed risk, anticoagulant therapy, comorbidities and enhance the overall patient experience. This free app for iPad is intended for medical professionals includes access to:- Stroke and Bleed Risk Assessment - CHADs-VASc and HAS-BLED calculations are built in allowing for an efficient assessment of a patients risk.- Evaluate Therapy - Visually compare anticoagulants through a table or graph format to determine lowest combined stroke and bleed risk.- Patient History - Track previous risk assessments, add patient notes and email to another medical provider.- Patient Engagement - Discussion view provides a visual format to enhance patient dialogue and education on atrial fibrillation and available therapy options.  Patient discussion views can be emailed directly to patients or printed for quality measure attainment.- Health Data Security - Pin code access, unique patient identifiers and secure servers are in place to provide data security.Contact us at any time for your organization to gain access to:- EMR Integration - Notes and patient data are automatically saved to your EMR increasing efficiency and communication and preventing duplication.- Customized Care Pathways and Clinical Protocols - Customize the app for your health system or practice through the addition of care pathways and clinical protocols. -  Treatment Guidelines - Automatically updating treatment guidelines ensure you are always up to date on the latest recommended guidelines.This product isn't intended to diagnose or recommend treatment for any disease.	0	CARDIOLOGY			App per terapia coagulante con aggiunta di EMR per quello ho messo anche sensory	
1209610909	FitGrid Pro	https://itunes.apple.com/us/app/fitgrid-pro/id1209610909?mt=8	Health&Fitness	FitGrid Pro helps studios and instructors boost their client retention rate.  It gives instructors tools to organize schedules, follow up with class attendees, view client data, take notes, and review different types of analytics.  As instructor retention rates increase, so do that of the studios that employ them.	1					
396110426	Rohit Krishna	https://itunes.apple.com/us/app/rohit-krishna/id396110426?mt=8	Medical	Rohit Krishna  Doctor App:  Build your personalized physician iPhone App.Doctor App Improves:  Marketing & Branding, Patient Education/Communication and Practice EfficiencyTell Your Patients in Your Office or on Your Marketing Commercials: Download Me/Us on iTunesHow cool is that?  We make it happen!  Contact us:  company@cloudninedevelopment.comWe Build Doctor App or Your Practice App in DaysCloud Nine Development, LLCSmartphones and Web ApplicationsShould I have an App?Are Apps the next Web?  Undoubtedly the answer is Yes. You could and should be the first in your specialty in your area to have an App for your patients and referring physicians.Your Doctor App could be your personalized iPhone application that could be downloaded by your patients from iTunes.com for Free.  They will be able to find you on the iTunes App store by the name you choose (e.g. your name or practice name).  Doctor App has various features from office hours, GPS enabled directions to office locations, contact information to patient education material.  Doctor App could inform your patients about current events and services offered at your practice.  Patients could contact your office for medical records, medication refills, or ask a technician a question right from your application on their phone.  Patients or your referring physicians could request an appointment with you right from the phone through the Doctor App.  By uploading relevant patient education material, a specialist could have their referring doctors use your application for patient education material and then refer patients to you. Here are some of the reasons why a Doctor App would be beneficial compared to a website:User Interface customized to mobile phones and superior to web layout.Ability of user/patients/public to have improved, increased access to their physicians.Increased ability of the physician to reach out to their patients using a current news type function that will update each users application in real time.Potential to reduce costs and save time.  Users can contact/make requests of clinic/hospital staff without a phone call or in person contact.Easy accessibility to physicians offices through GPS enabled map functions on the smartphoneAbility of users to be able to have immediate access to a phone directory and synced callingPatients do not need to remember doctors or nurses names to navigate web and websitePersonalized patient education material that can we emailed or hosted on the application, with similarly personalized patient education videos. The videos can be present on the app and referring physicians can have the patient look at it before they come to see the specialist.We believe Doctor App has the potential to improve practice marketing and branding, patient education and communication, and personal and practice efficiency. Cloud Nine Development, LLC (www.cloudninedevelopment.com) is a company managed by physicians and they have developed the Doctor App.  Our first product is the Eye Handbook (www.eyehandbook.com), an iPhone application available on Apples iTunes store (www.iTunes.com).  For further information or to give your thoughts about Doctor App please feel free to contact us at company@cloudninedevelopment.com or visit the companys website at www.cloudninedevelopment.com (Fax: 1-888-602-5946).	0	ACROSS			Metto across ma potrebbe essere anche sensory	si forse avrei messo sensory, ma non saprei dire quale delle due è più importante
