"specialty";"terms"
"Cardiology";"Pulmonary Valve Insufficiency"
"Cardiology";"Pulmonary Valve Stenosis"
"Cardiology";"Pulmonary Subvalvular Stenosis"
"Cardiology";"Tricuspid Valve Insufficiency"
"Cardiology";"Tricuspid Valve Stenosis"
"Cardiology";"Myocardial Ischemia"
"Cardiology";"Acute Coronary Syndrome"
"Cardiology";"Angina Pectoris"
"Cardiology";"Angina, Unstable"
"Cardiology";"Angina Pectoris, Variant"
"Cardiology";"Angina, Stable"
"Cardiology";"Microvascular Angina"
"Cardiology";"Coronary Disease"
"Cardiology";"Coronary Aneurysm"
"Cardiology";"Coronary Artery Disease"
"Cardiology";"Coronary Occlusion"
"Cardiology";"Coronary Stenosis"
"Cardiology";"Coronary Restenosis"
"Cardiology";"Coronary Thrombosis"
"Cardiology";"Coronary Vasospasm"
"Cardiology";"Coronary-Subclavian Steal Syndrome"
"Cardiology";"Myocardial Infarction"
"Cardiology";"Anterior Wall Myocardial Infarction"
"Cardiology";"Inferior Wall Myocardial Infarction"
"Cardiology";"Non-ST Elevated Myocardial Infarction"
"Cardiology";"Shock, Cardiogenic"
"Cardiology";"ST Elevation Myocardial Infarction"
"Cardiology";"Myocardial Stunning"
"Cardiology";"Pericardial Effusion"
"Cardiology";"Pericarditis"
"Cardiology";"Pericarditis, Constrictive"
"Cardiology";"Pneumopericardium"
"Cardiology";"Postpericardiotomy Syndrome"
"Cardiology";"Pulmonary Heart Disease"
"Cardiology";"Rheumatic Heart Disease"
"Cardiology";"Ventricular Dysfunction"
"Cardiology";"Ventricular Dysfunction, Left"
"Cardiology";"Takotsubo Cardiomyopathy"
"Cardiology";"Ventricular Dysfunction, Right"
"Cardiology";"Ventricular Outflow Obstruction"
"Cardiology";"Pregnancy Complications, Cardiovascular"
"Cardiology";"Embolism, Amniotic Fluid"
"Cardiology";"Vascular Diseases"
"Cardiology";"Aneurysm"
"Cardiology";"Aneurysm, Dissecting"
"Cardiology";"Carotid Artery, Internal, Dissection"
"Cardiology";"Loeys-Dietz Syndrome"
"Cardiology";"Vertebral Artery Dissection"
"Cardiology";"Aneurysm, False"
"Cardiology";"Aneurysm, Infected"
"Cardiology";"Aneurysm, Ruptured"
"Cardiology";"Aortic Rupture"
"Cardiology";"Aortic Aneurysm"
"Cardiology";"Aortic Aneurysm, Abdominal"
"Cardiology";"Aortic Aneurysm, Thoracic"
"Cardiology";"Endoleak"
"Cardiology";"Iliac Aneurysm"
"Cardiology";"Intracranial Aneurysm"
"Cardiology";"Microaneurysm"
"Cardiology";"Angiodysplasia"
"Cardiology";"Gastric Antral Vascular Ectasia"
"Cardiology";"Angiomatosis"
"Cardiology";"Angiomatosis, Bacillary"
"Cardiology";"Klippel-Trenaunay-Weber Syndrome"
"Cardiology";"Sturge-Weber Syndrome"
"Cardiology";"von Hippel-Lindau Disease"
"Cardiology";"Angioedema"
"Cardiology";"Angioedemas, Hereditary"
"Cardiology";"Hereditary Angioedema Type III"
"Cardiology";"Hereditary Angioedema Types I and II"
"Cardiology";"Aortic Diseases"
"Cardiology";"Aortic Arch Syndromes"
"Cardiology";"Takayasu Arteritis"
"Cardiology";"Aortitis"
"Cardiology";"Leriche Syndrome"
"Cardiology";"Arterial Occlusive Diseases"
"Cardiology";"Arteriosclerosis"
"Cardiology";"Arteriolosclerosis"
"Cardiology";"Arteriosclerosis Obliterans"
"Cardiology";"Atherosclerosis"
"Cardiology";"Peripheral Arterial Disease"
"Cardiology";"Intracranial Arteriosclerosis"
"Cardiology";"Dementia, Vascular"
"Cardiology";"Intermittent Claudication"
"Cardiology";"Carotid Stenosis"
"Cardiology";"Fibromuscular Dysplasia"
"Cardiology";"Malignant Atrophic Papulosis"
"Cardiology";"Mesenteric Vascular Occlusion"
"Cardiology";"Moyamoya Disease"
"Cardiology";"Renal Artery Obstruction"
"Cardiology";"Retinal Artery Occlusion"
"Cardiology";"Susac Syndrome"
"Cardiology";"Stenosis, Pulmonary Artery"
"Cardiology";"Thromboangiitis Obliterans"
"Cardiology";"Capillary Leak Syndrome"
"Cardiology";"Cerebrovascular Disorders"
"Cardiology";"Basal Ganglia Cerebrovascular Disease"
"Cardiology";"Basal Ganglia Hemorrhage"
"Cardiology";"Putaminal Hemorrhage"
"Cardiology";"Brain Ischemia"
"Cardiology";"Brain Infarction"
"Cardiology";"Brain Stem Infarctions"
"Cardiology";"Lateral Medullary Syndrome"
"Cardiology";"Cerebral Infarction"
"Cardiology";"Dementia, Multi-Infarct"
"Cardiology";"Infarction, Anterior Cerebral Artery"
"Cardiology";"Infarction, Middle Cerebral Artery"
"Cardiology";"Infarction, Posterior Cerebral Artery"
"Cardiology";"Hypoxia-Ischemia, Brain"
"Cardiology";"Ischemic Attack, Transient"
"Cardiology";"Vertebrobasilar Insufficiency"
"Cardiology";"Subclavian Steal Syndrome"
"Cardiology";"Carotid Artery Diseases"
"Cardiology";"Carotid Artery Injuries"
"Cardiology";"Carotid Artery Thrombosis"
"Cardiology";"Cerebral Small Vessel Diseases"
"Cardiology";"CADASIL"
"Cardiology";"Cerebral Amyloid Angiopathy, Familial"
"Cardiology";"Fabry Disease"
"Cardiology";"MELAS Syndrome"
"Cardiology";"Microscopic Polyangiitis"
"Cardiology";"Stroke, Lacunar"
"Cardiology";"Cerebrovascular Trauma"
"Cardiology";"Subarachnoid Hemorrhage, Traumatic"
"Cardiology";"Intracranial Arterial Diseases"
"Cardiology";"Cerebral Arterial Diseases"
"Cardiology";"Cerebral Amyloid Angiopathy"
"Cardiology";"Intracranial Embolism and Thrombosis"
"Cardiology";"Intracranial Embolism"
"Cardiology";"Intracranial Thrombosis"
"Cardiology";"Sinus Thrombosis, Intracranial"
"Cardiology";"Cavernous Sinus Thrombosis"
"Cardiology";"Lateral Sinus Thrombosis"
"Cardiology";"Sagittal Sinus Thrombosis"
"Cardiology";"Intracranial Hemorrhages"
"Cardiology";"Cerebral Hemorrhage"
"Cardiology";"Cerebral Hemorrhage, Traumatic"
"Cardiology";"Intracranial Hemorrhage, Hypertensive"
"Cardiology";"Intracranial Hemorrhage, Traumatic"
"Cardiology";"Brain Hemorrhage, Traumatic"
"Cardiology";"Brain Stem Hemorrhage, Traumatic"
"Cardiology";"Hematoma, Epidural, Cranial"
"Cardiology";"Hematoma, Subdural"
"Cardiology";"Hematoma, Subdural, Acute"
"Cardiology";"Hematoma, Subdural, Chronic"
"Cardiology";"Hematoma, Subdural, Intracranial"
"Cardiology";"Pituitary Apoplexy"
"Cardiology";"Subarachnoid Hemorrhage"
"Cardiology";"Leukomalacia, Periventricular"
"Cardiology";"Sneddon Syndrome"
"Cardiology";"Stroke"
"Cardiology";"Vascular Headaches"
"Cardiology";"Vasculitis, Central Nervous System"
"Cardiology";"AIDS Arteritis, Central Nervous System"
"Cardiology";"Giant Cell Arteritis"
"Cardiology";"Lupus Vasculitis, Central Nervous System"
"Cardiology";"Vasospasm, Intracranial"
"Cardiology";"Colitis, Ischemic"
"Cardiology";"Compartment Syndromes"
"Cardiology";"Anterior Compartment Syndrome"
"Cardiology";"Intra-Abdominal Hypertension"
"Cardiology";"Ischemic Contracture"
"Cardiology";"Diabetic Angiopathies"
"Cardiology";"Diabetic Foot"
"Cardiology";"Diabetic Retinopathy"
"Cardiology";"Embolism and Thrombosis"
"Cardiology";"Embolism"
"Cardiology";"Embolism, Air"
"Cardiology";"Embolism, Fat"
"Cardiology";"Embolism, Cholesterol"
"Cardiology";"Blue Toe Syndrome"
"Cardiology";"Pulmonary Embolism"
"Cardiology";"Pulmonary Infarction"
"Cardiology";"Thromboembolism"
"Cardiology";"Embolism, Paradoxical"
"Cardiology";"Venous Thromboembolism"
"Cardiology";"Thrombosis"
"Cardiology";"Venous Thrombosis"
"Cardiology";"Budd-Chiari Syndrome"
"Cardiology";"Postthrombotic Syndrome"
"Cardiology";"Retinal Vein Occlusion"
"Cardiology";"Thrombophlebitis"
"Cardiology";"Lemierre Syndrome"
"Cardiology";"Upper Extremity Deep Vein Thrombosis"
"Cardiology";"Hand-Arm Vibration Syndrome"
"Cardiology";"Hemorrhoids"
"Cardiology";"Hemostatic Disorders"
"Cardiology";"Cryoglobulinemia"
"Cardiology";"Ehlers-Danlos Syndrome"
"Cardiology";"Hemangioma, Cavernous"
"Cardiology";"Multiple Myeloma"
"Cardiology";"Pseudoxanthoma Elasticum"
"Cardiology";"Purpura, Hyperglobulinemic"
"Cardiology";"Scurvy"
"Cardiology";"Shwartzman Phenomenon"
"Cardiology";"Telangiectasia, Hereditary Hemorrhagic"
"Cardiology";"Waldenstrom Macroglobulinemia"
"Cardiology";"Hepatic Veno-Occlusive Disease"
"Cardiology";"Hyperemia"
"Cardiology";"Hypertension"
"Cardiology";"Hypertension, Malignant"
"Cardiology";"Hypertension, Pregnancy-Induced"
"Cardiology";"Hypertension, Renal"
"Cardiology";"Hypertension, Renovascular"
"Cardiology";"Hypertensive Retinopathy"
"Cardiology";"Masked Hypertension"
"Cardiology";"White Coat Hypertension"
"Cardiology";"Hypotension"
"Cardiology";"Hypotension, Orthostatic"
"Cardiology";"Post-Exercise Hypotension"
"Cardiology";"Shy-Drager Syndrome"
"Cardiology";"Mesenteric Ischemia"
"Cardiology";"No-Reflow Phenomenon"
"Cardiology";"Optic Neuropathy, Ischemic"
"Cardiology";"Peripheral Vascular Diseases"
"Cardiology";"Erythromelalgia"
"Cardiology";"Livedo Reticularis"
"Cardiology";"Phlebitis"
"Cardiology";"Postphlebitic Syndrome"
"Cardiology";"Raynaud Disease"
"Cardiology";"CREST Syndrome"
"Cardiology";"Prehypertension"
"Cardiology";"Pulmonary Veno-Occlusive Disease"
"Cardiology";"Reperfusion Injury"
"Cardiology";"Primary Graft Dysfunction"
"Cardiology";"Spinal Cord Vascular Diseases"
"Cardiology";"Spinal Cord Ischemia"
"Cardiology";"Anterior Spinal Artery Syndrome"
"Cardiology";"Splenic Infarction"
"Cardiology";"Stenosis, Pulmonary Vein"
"Cardiology";"Superior Vena Cava Syndrome"
