"";"average.rating";"category";"pegi";"description";"devname";"price";"version";"lastupdate"
"11";NA;"Health & Fitness";4;"Your EAP should be as mobile as you are.If your company has subscribed to 1to1’s EAP, you can now access support when and where you need it.Self-help Library: Practical, reliable information on relationships, self-development, marriage, parenting, and workInteractive assessment tools: quick tests and quizzes to help you understand yourselfWellness resources: articles, calculators, HRAConfidential help: Secure, confidential ,online Interaction with a professional counsellorMobile Scheduling:  request for telephonic or face-to-face counselling appointmentsReaching out for help is not always easy. You may hesitate because of privacy concerns, or worry about what others may think about you. Yet that little bit of assistance can help you manage your life, work and relationships more effectively.With this free mobile app you can access resources and help in a way that is safe, private and convenient… with just a touch or click on your mobile device.The service is brought to you  by a team of qualified, highly experienced counsellors from 1to1help, India’s leading EAP provider.";"1TO1HELP.NET PRIVATE LIMITED";0;"1.0.4";1530144000
"12";NA;"Medical";17;"Created by a cardiologist to categorize your chest discomfort and assess risk in about 20 ""yes"" or ""no"" questions. Though this does not replace consultation with a medical professional,  this is an excellent supplement to your doctor's visit. No personally identifying information of any sort is required!  You only click ""yes"" or ""no"" to each question. Nothing is recorded or saved. No login, no emails and no accounts.  Just quick, fast and accurate information based on your symptoms.Have you been having nagging discomfort in the chest? You should always consult a medical professional.  However,  a first step to gathering information is exploring the potential causes of your chest discomfort.  20 Questions: Chest Pain does not replace the advice of a physician, but it has been created by a practicing cardiologist and is an excellent first step toward determining the cause of the problem or possibly confirming the diagnosis of your physician. It only takes a few minutes to answer the ""yes"" or ""no"" questions regarding the duration and quality of the discomfort! You can answer the questions as many times as you like!  Absolutely no personally identifying information is required, you only click ""yes"" or ""no"" to each question.  When the program has enough information a diagnosis, a risk assessment and limited next steps are presented. Nothing is recorded or saved. No login, no emails and no accounts.  Just quick, fast and accurate information based on your symptoms.Disclaimer: 20 Questions: Chest Pain is to be used only for entertainment purposes. If you feel you are suffering from a medical emergency seek help immediately. If you are already under the care of a medical professional due to known heart disease any and all cardiac symptoms should be discussed with your doctor. The makers of this application cannot be held liable for any injury or damages under any circumstances.";"aaron from";0,99;"2.0.2";1491264000
"13";NA;"Health & Fitness";4;"No more fiddling with spreadsheets and print outs at the gym. This app calculates the weights you should use, based on your five rep max, for the 6-week 20-rep squat protocol. The app also makes it easy to keep track of where you are in the cycle and the progress you make from cycle to cycle.";"Wide Swath Research, LLC";0,99;NA;NA
"14";NA;"Education";17;"2016 AG Bell Convention";"Persource";0;"3.1";1463702400
"15";NA;"Medical";17;"** Updated for iOS 9 **   - Use Spotlight to search for top level terms, open directly in ICD 10 Browser  - Fixed minor bugsICD-10 Browser is the fastest offline browser for ICD-10 CM and ICD-10 PCS medical classifications. Advanced search by code and title allow for quick access to the 200,000+ classifications. Codes are supplemented with additional MEDLINE information when available. Select favorite codes for easy reference and access later. Use Spotlight search to find top level codes and open in app.";"Andrew Lin";3,99;"1.03";1446249600
"16";NA;"Health & Fitness";4;"21 Day Container Tracker Fit allows you to track your 21 day program using your smartphone. It's a quick fix to tracking your progress!No more trying to fix your mistakes with pen and paper. Simply tap containers to mark them as consumed and tap exercises to mark them as complete.Why choose this app? Simple, because it makes tracking easier and faster than any of the other 21 day apps!We calculate calories, containers, water, exercises. We create built-in reminders for you. We also prepare the recipes, shopping list, zings, seasonings… all for your convenienceThis app was developed by professional programmers under direct guidance by coaches and researchers who coach challengers just like you who do the 21 day program and know exactly what problems you will face.So this app is like having a personal coach waiting to track your containers, exercises, and body measurements as well as fix your weight!What are you waiting for? Get this app right now so that you can finish your 21 day program and fix up that body!+ If you like the app, please rate it or write a review! If you have a problem contact us so that we have a chance to help you and fix any issues (Contact us built-in app).+ Our app is very reliable. but if you do happen to find a bug, please let us know and we'll work hard to get you a new release to fix any bugs right away.Features:+ Tap & Track Your Containers, Water, Workouts, And Weight.+ Zings: Recipes, Treats, Seasonings, Beverages+ 21 Days, Quick Fit, and Maintain Weight.+ Smartly Adjust Food & Water Proportions Based On Daily Weight.+ Color Coded Containers for Each Meal While Seeing The Remaining Containers.+ Container Food Lists Are Included.+ Transformation Trackers+ Workouts Are Included.+ Reset-able Calendars .+ Simple, Clean design.+ Built-in Reminders.+ Support Both Kg & lbs.+ Support Both ml & oz.+...About us: VICTO IDEAS is a research lab, specializes in health & fitness technologies. We are the lab that created the famous Massage Pillow, Bedtime Sleep Fan, 7 Minute Workout Plus, Water Tracker, 20 Day Fit, 20/20 Diet For Life... (You may want to have a look at our apps -> tap on more by this developer/Thang Nguyen -> it will navigate to all the available apps)We created technologies to help more and more people improving their health & life experience.";"Thang Nguyen";2,99;"7.0";1538524800
"17";4,5;"Health & Fitness";4;"Take the 22 pushup for 22 days challenge, the internet’s newest craze! Get in better shape, do good by raising awareness for post traumautic stress disorder and have lots of fun doing it!IT'S ALL ABOUT STREAKSKeep a streak going. Every 5 days of consecutive pushups, unlock a new coaching voice. CHALLENGE OTHERSIf you do 22 pushups in a forest and nobody sees it, does it count? No, it doesn’t. The app records your facial expressions while you pushup so you can upload and challenge other friends.STAY MOTIVATEDPushups are boring. Pushups with a coach cheering you on are awesome. Unlock different coaches that will say something motivational as you do pushups.LOOK MA, NO HANDSCounting to 22 can be hard work. Just put the phone below your chest and the app will do the counting for you. Plus it’ll keep a record of how many pushups you have done each day to see if you can complete 22 pushups for 22 days.COACHING PROGRAMCan’t do a single pushup? Don’t worry, 22 pushup challenge includes a coaching program that will build you up from 1 to 100.DIFFERENT PUSHUP MODESAre you a pushup monster? Advanced users can choose different workout modes:- Pushup for time - As many reps as possible pushups- Interval training pushupsAPPLE HEALTH INTEGRATIONDon’t let your hard work vanish without a trace. All the active energy from your workout is saved to Apple health.SIRI® INTEGRATIONJust turn on Siri and say “Start workout with 22 pushups” or “Stop workout with 22 pushups” to Siri to start your workout.iCLOUD INTEGRATION Save your hard earned pushup scores and streaks to iCloud and never lose them again.POST TRAUMATIC STRESS DISORDERAn estimated 22 former servicemen and women commit suicide every day as a result of suffering from mental health problems associated with their time in the military. By completing 22 pushups, posting a selfie to social media and tagging a friend you’re reminding someone of PTSD.Privacy Policy: https://www.famfitgames.com/privacy-policy-22-push-upsTerms of Use: https://www.famfitgames.com/terms-of-use";"Family Fit Limited";0;"1.7.2";1537056000
"18";NA;"Medical";4;"247Patient is an application truly like none other. Now your clinic is never more than just a touch away. Book, reschedule and cancel appointments with a touch of your finger - Anytime. Anywhere.Receive SMS reminders of your appointments to stay on top of your health. Tired of long clinic waiting times ? Receive instant SMS information if your doctor is delayed.247Patient ensures you always stay on top of your health.To access the clinic, 247Patient app requires the clinic to run the 247DoctorCare clinic management software. You need to get the clinic number from your clinic to run this app.Features List:- Choose your preferred doctor and time slot for your appointments- In- App Appointment Booking- SMS Appointment booking ( for non-smart phones)- Appointment Rescheduling and cancelling- SMS reminders of appointments- SMS confirmations of appointments- Doctor delay information For more information, visit www.247doctorcare.com";"BIZINFO PTE. LTD.";0;"1.0";1441929600
"19";3;"Health & Fitness";4;"**Quick note on version 1.0.19.  I think the app is now fixed for iOS5, but it's obviously not working for some.  Please consider contacting me at support@26point2app.com to let me know what is not working so I can fix it.  Thanks!**26point2 for iPhone is a marathon and half marathon application with features for both the runner and spectatorWritten by a marathon runner for marathon runners.  Every year since 2003 i've ran the Chicago Marathon.  The app is written for what I needed, probably similar to your needs.I developed 26point2 initially to make it easy to track my training, later I added the map to help my family locate me during the race.Originally designed for marathons (hence the name), half marathon functionality was added at version 1.0.9.  MAIN FEATURES* 4 marathon training plans, 1 half marathon plan.* Target Time Calculator.* Split Times (zero based and start time based) view and email.* v1.0.17 has 66 maps course maps with Smart Mile Markers which show on the map when the runner should be at each mile.* GPS tracking on any of the course maps shows the runner location when the runner is using the 26point2GPS app to send their position.* Supports as many events (or runners) as you wish.* Universal App FEATURE DETAILSEvents* Name, Distance, Date, Start Time information for each event* Active, Not Active Setting* Countdown to start of each event Training* 4 Marathon Plans 1x18 week, 3x17 week* 1x12 week Half Marathon Plan* Saturday or Sunday long run option* Create all records, or only future records option* Original PDF files included for referenceTarget Time Picker* Pace in time/mile or time/km* Speed in miles or kmSplit Times* Runner, Clock, Runner and Clock* Clock time is the time the runner should be at each mile marker.* Miles or km* Half Marathon or Marathon* Email functionalityMaps* 66 course maps -marathon (37), half marathon (29)* Zoom to Map, or Spectator location* View in Map, Sat or Mix mode* View all the maps at http://www.26point2app.com/features/marathon-maps* iPad maps require significant system memory, best to double tap home and end suspended apps which are no longer required.Settings* Miles or km, MDY or DMY dates* All or only Active Marathons* Runner and Spectator, Only Runner, Only Spectator splits* Create all plan records or only future plan records* Saturday or Sunday long run day  In App Purchase* Remove Ads added at version 1.0.13- This will stop the ads, especially convenient given the improved mapping functionality.More maps planned for later releases.  Request a map to be added at the website or via the setting option.Be the first to know!  Keep up to date on all 26point2 news. VISIT: 26point2app.comFOLLOW: twitter.com/26point2appLIKE: facebook.com/26point2app";"Jim Stewart";0;"1.0.19";1320796800
"20";NA;"Health & Fitness";4;"A simple and easy to use running app that tracks your current distance and time while you run.Note:Continued use of GPS running in the background can dramatically decrease battery life.";"Majid Wallace";0;"1.1";1414627200
"21";4,4;"Health & Fitness";4;"**Want to improve your health & fitness? Want the ultimate push up workout for your dream upper body? Then try the 30 Day Push Up Challenge for FREE!!**The 30 Day Push Up Challenge is a simple 30 day exercise plan, where you do a set number of push up exercises each day with rest days thrown in! The workout increases in intensity slowly and day 30 will test anyone. In total the app has 6 workouts with 15 push up exercise variations. The workouts and exercises are suitable for both men and women of any age and fitness levels.  You can also track your progress and share it with your friends via Facebook, Twitter and email!Try our other 30 day challenge and fitness apps too:- 30 Day Ab Challenge- 30 Day Cardio Challenge- 30 Day Firm Butt Challenge- 30 Day Plank Challenge- 30 Day Squat Challenge- 30 Day Thigh Slimming Challenge- 30 Day Toned Arms Challenge- 7 Minute Workouts- Paleo Food List- Fasting Timer- iStats- More apps coming soon!!Please seek medical advice prior to commencement.";"Jozic Productions Pty Ltd";0;"5.3";1519603200
"22";NA;"Health & Fitness";4;"Fitness Coach for Women is home fitness workouts is ideal for those who want to work out at home, lose weight, lose belly fat fast, feel the body tonus and get in shape.Our free Fitness Coach app for women has home workouts that make it easy to work out wherever you are Get fit in 30 days. If you find it hard to Get fit. Use our Fitness Coach for Women, that can be done anywhere at anytime. 30 Day Workout is the best female home workout app for Fitness because of our variety of exercise routines and in-person trainer guidance. No equipment workouts are the best workouts!Fitness Coach for Women Trainings consist of different body Fitness exercises to do at home (legs exercises, hips exercises, calves exercises, abs exercises, exercises for bum, legs abs and buttocks workout, toned body workout, flat stomach workout, wall push up),There are also 15+ popular and effective exercise, which you can do individually, or as part of the Fitness exercise programs. There is something for everyone.Key Features:- Training plan for 30 days- Animated exercise demonstration- Diet for 30 days with a daily schedule and various products- No equipment , all you need is your body weight, only bodyweight fitnessFitness Coach for Girls [Daily Workouts Trainer]Download Now!";"Swapna Puramsetty";0;"1.0.2";1531353600
"23";NA;"Health & Fitness";4;"**Do you want the ultimate workout for your upper body and arms?Take up the 30 Day Push-Ups Trainer with our app**30 Day Push-Ups Trainer is a simple 30 day workout plan. You do a number of push-up exercises each day. There are rest days to make sure you get proper recovery time. The intensity of the exercises increase slowly and by the end of this 30 day push-up workout plan,  you will definitely have stronger muscles. The app is suitable for both men and women.Just install this app and follow the routine daily. Our reminder will automatically remind you to workout daily. Rest days will help your muscles recover. Tick off the days you have completed to keep track of your challenge progress. Don't cheat! It's as simple as that.Main feature:--------------------------- No advertising- Pretty design- 15 Push-Ups exercises step by step- Unlock all 6 Intense workout- Full video and Photo guide you each move- Smart calendar track your progress- Reminds you when to workoutTry our other 30 day challenge workout apps too:--------------------------------------------------------- 30 Day Abs Trainer- 30 Day Squats Trainer- 30 Day Toned Arms- 30 Day Sexy Butt- 30 Day Weight loss Trainer- 30 Day Yoga Trainer- 30 Day Bikini body Trainer- More apps coming soon!!--------------------------CreativeApps Support--------------------------Email: support.ios@creativeapps.vnFacebook: http://www.facebook.com/creativeapps.vnWebsite: http://www.creativeapps.vn";"Phuoc Nguyen";3,99;NA;NA
"24";3,6;"Health & Fitness";4;"Give our 30 Day Weight Loss Challenge a try: If you want to lose weight fast and crush fat challenge yourself to this workout challenge. Ease into a weight loss plan with these multiple 30-day action plans.Our 30-day workout challenges are created by a fitness expert to help you kick start your fitness, improve your health, and transform your body.Lose weight in 30 days:Reducing your body fat percentage isn't easy, though. If it was, everyone would look like this. But if you follow the right program, you can. Stick to the following plan and reducing your body fat percentage (and losing some pounds of belly fat) is almost assured.Let's be honest. Going to the gym and sweating it out is not everyone’s cup of tea - some don’t like it, others don't have time for it. But going to the gym is not the only way to get rid of those extra kilos. So, here we bring to you some basic, no equipment exercises that you can do at home and lose weight in 30 days.Slim Down in 4 weeks:We want you to feel better than ever in your body—and our 30-day 'slim down' weight loss challenge can help you get there. Lose the belly fat and tone from head to toe with our workout plan that targets your upper arms, abs, buttocks, and thighs.All the workout challenges increases the exercise intensity step by step and comes with two difficulty levels (beginner & intermediate).The app provides effective and efficient fat loss 30-day challenges.Features of this App :- Records training progress automatically- A total of 8 challenges- Create your own challenge- Increases exercise intensity step by step- Keep track of your best attempts for each exerciseSlim down and surpass your fitness goals by following this 30 day weight loss challenge that'll transform your body. Download now!";"Stefan Roobol";0;"1.1";1528070400
"25";NA;"Health & Fitness";4;"Want to lose your belly fat and get some serious Six Pack abs for the summer? Let’s start this plain and simple: it’s almost beach time and your belly is not quite ready to charm the ladies ;-). The Workout That'll Show Your 6-pack Abs:Getting a six-pack might seem like a daunting process, but with the right diet and workout routine, you may be able to get one in a month. The key is doing exercises that work out your abs and core, as well as reducing the amount of body fat you carry around your core as much as possible.The aim of this workout is to comprehensively train all the muscles of the core (alternating between upper and lower abs) to produce a perfect six-pack.Having trouble leaving the house to go to the gym? No problem! Here is a workout that you can do from the comfort of your own home! No equipment needed!Take up this 30 Day Six Pack Abs Challenge this month and tone up and boost your core muscles and body strength to the max in order to get you that perfect summer in the lead up to the holiday season!By following this Six-Pack Ab challenge you will not only be stronger but healthier as well. These workouts will make your abs stronger which can help you to improve your sport performance levels.";"Stefan Roobol";0;"1.2";1528588800
"26";NA;"Medical";4;"Measure Joint Range of Motion with our Bluetooth Sensor.Before you can use this app you need to buy a sensor kit Exclusively available on iOS iPad Generation 3+.Easily measure any limb's range of motionKeep a progress of each patient as they get treatedShare information with other medical practitionersUse the biofeedback system to move the patient beyond their range during treatment or as part of a home programView graphs in 3 dimensions for any movement";"Shemesh Health Solutions PTY Ltd";249,99;"2.0.0";1535328000
"27";NA;"Health & Fitness";17;"Access your personalized recommendations for the current season and your other health challenges. The app also has additional features and information to explore.*Diet: Specific recipes, recommended foods to add, seasonal food lists and guidance.*Lifestyle: Specific daily routines, custom exercise and movement, and stress reducing activities.*Explore option to learn about each category in more depth.*Intermittent fasting timer for clients who are adding a fasting component.*Search foods specific to help create balance.*Meditation and Yoga Nidra guidance.*Automatic seasonal updates.Ayurvedic Health Practitioners and Counselors: Give your clients their best chance for success between visits. Contact us to get your clients on board.Brought to you by:3-D Living3-Dimension Living3-Dosha Living";"Shagbark LLC";0;"1.0.2";1529971200
"28";NA;"Medical";4;"This app creates a detailed 3D model using MRI images. It displays a realistic solid model of all the bones and muscles in the upper and lower limbs, which can be rotated freely on the screen.Features:- Display the muscles in any combination of your choice, both individually and in groups (Flexors, Extensors).- Rotate the model 360 degrees, with a swipe of your finger.- Zoom in/out crystal clear images.- Text information about the muscles (Origin, Insertion, Innervation, Action).- Show muscle attachment areas in color.Add-ons :- Arm- Forearm- Hand- Upper Limb (include those 3 parts)- Thigh- Leg- Foot- Lower Limb (include those 3 parts)Note: If you lost purchased add-ons, please tap the ""Restore"" button.About the 3D Model:Based on high resolution MRI images of an adult male, interprets the contours of each muscles, and then combines all the contour data to build a 3D model. This model provides an accurate 3D positional representation of the muscles in a living body.Supervisor :Tatsuo Sakai, MD, Ph.DProfessor of Anatomy, School of Medicine, Juntendo UniversityMamoru Niitsu, MD, Ph.DProfessor of Radiology, Saitama Medical University";"NIhon-Iji-Shinpousha Co.,Ltd";0;"2.0.0";1444608000
"29";3;"Health & Fitness";4;"Pair the 3Plus Activity Tracker app with your 3Plus device and start tracking your daily activities!- Tracks activity, sleep, and caloriesContinued use of GPS running in the background can dramatically decrease battery life.";"3Plus International Inc.";0;"1.1.27";1419811200
"30";NA;"Health & Fitness";4;"Download the 3T Fitness App today to plan and schedule your Sessions!  View timetables, training locations, sign-up for sessions, view ongoing promotions and events, and trainer contact information.  Optimize your time and maximize the convenience of signing up for sessions from your device! Download this App today!";"MINDBODY, Incorporated";0;"4.2.1";1528934400
"31";NA;"Health & Fitness";12;"40•30•30+ provides the same features as the popular free version, but includes the total calories in a meal, as well as the part of the total supplied by each of three macronutrients. Many popular diets specify that a certain percentage of your calories should come from fat, protein, and carbohydrates. While most foods are labeled with the number of grams of each, it can be tricky to convert this to percentages. With this app, you can quickly dial in the three numbers and instantly know the percentage of calories in the food you’re considering. As always, consult with your doctor before beginning any new diet.";"Laika Systems";0,99;"3.1";1490659200
"32";NA;"Health & Fitness";4;"Welcome to 432 HouseFitness is a focus. A central point.Surrounded by a multitude of factors that determine success or failure.Fitness is the space you make for yourself because your body and mind desire it.Fitness isn’t just instruction.It isn’t just top of the line equipment. It isn’t just discipline or determination. It’s not a space or a class or a diet. It’s a state of mind that’s a sum of all of the above and beyond.We’re that system.The makers of the perfect storm which in its heart is peaceful and tranquil, but we know how to sweat.Access our schedule and book classes.View our promos and information about our team and classes.Chat with our trainers, your friend and the 432 community of your studio and all over the world.Obtain and store your profile information, performances of your trainings and progress of your performances.Take part to our challenges individually or with your friends.Find at-home and Outdoor workouts.Be more than the sum of your parts!";"ophera747 s.a.s.";0;"1.1";1533081600
"33";4,4;"Health & Fitness";4;"Simple and reliable timers to use with your XF or XF style workouts. 4Time contains a standard timer, countdown timer, interval timer, lap timer, and even a fully programmable tabata timer.<U+25E6> 4Time is the only timer in the App Store that allows you to use your second iOS device as a remote control! (in-app purchase required; both devices must be running same version of iOS).<U+25E6> All timers allow you to tap the screen to add reps (except the lap timer, which allows you to add laps), helping you or a friend to keep count while you're working out.<U+25E6> After you complete your workout, you're automatically shown your results (if available) displaying your completed reps for each round. This makes it easy to track your workout round by round and record this data to your personal log/journal easily.<U+25E6> Tabata Timer: Allows you to set work, rest between intervals, rest between tabatas, number of rounds, and number of tabatas -- as well as a custom name for each tabata. Everything you need!<U+25E6> 4Time also give you access to your device's music library so you can listen to that power song to push you the extra mile!<U+25E6> Like to be original? 4Time offers several different timer sounds for you to choose one (requires in app purchase).****************************************************If you encounter any problems with 4Time please email us directly (supportdreamworkshop@me.com) as opposed to leaving a negative review. Be sure our responses are not being automatically placed into your ""Junk"" mailbox. It is difficult for us to help you when we cannot communicate back to you. We also request that you ""report a problem"" in the App Store. This will help us determine the cause of the problem. It also helps us and other users when we receive emails from you. Thank you : ) ****************************************************";"MettaBot, LLC";0,99;"4.0";1509321600
