"Description";"NC 1/0"
"FollowApp is a post-discharge patient monitoring and advocacy service designed for cardiac surgery patients recovering at home. Patients at participating hospitals are discharged with a kit of easy-to-use devices and take daily readings which are tracked by the FollowApp Care Team. The app also includes a recovery guide and 24/7 call request service.

FollowApp s Care Team works directly with clinicians to ensure the best possible recovery experience. Check with your hospital to see if FollowApp is available for you.";1
"American Barbell Clubs is a health club organization that provides state-of-the-art equipment and knowledgeable personnel to assist its members in the achievement of their health and fitness goals. American Barbell Clubs embodies a culture of strength training, cardiovascular conditioning, functional training and group exercise programming. These disciplines are brought together in a well thought out workout environment that is affordable for everyone. We have been building and operating health clubs for over 35 years. We know who we serve and we know what we re doing when it comes to operating health clubs.
At American Barbell Clubs,  the workout IS the experience ! We ve created an environment where a serious approach to performance based training and conditioning is the accepted norm. These are the reasons our members choose us.";0
"Hock's Tipp City Pharmacy is an easy-to-use app that allows pharmacy customers to manage their entire family's prescriptions, order refills, set medication reminders, and find pharmacy location information. 

Creating an account is easy. Just enter your last name and date of birth, along with any existing prescription number. Then, simply add all of your family members to your account for quick and easy access to all of their prescriptions. 

Hock's Tipp City Pharmacy is a free app for iPhone and iPod Touch users. There is no charge to download or use the app.";0
"eRAP is Aidacare s Prescriber Portal for creating, managing and submitting prescriptions for the Department of Veteran Affairs Rehabilitation Appliances Program (RAP).

If you are a therapist, the App has been designed with you in mind. 

Here are some of the features:

1. Synchronised App - Your App will synchronise with eRAP s web portal meaning that your information is with you wherever and whenever you want.
2. Draft Orders - Draft orders allow you to complete your prescriptions when you have time. You can raise an order on your App and then complete it later on your laptop/desktop via the website.
3. Offline processing - The Apps is fully functional even without an internet connection. The App will synchronise when you next have a connection.
4. Home Modifications - The in-built home modifications draw function allows you to take a photograph and draw and write on the image to document your desired modifications.
5. Home Owner Approval - The Home-owner can sign-off on their modifications using the screen of your iPad.
6. Attribute Selection -  The ordering of complex products is made easy by choosing your attributes (Size, Colour, Compression etc.). The App will then choose the right product based on your selection.";0
"Cardiositeindia is a world class patient care educational platform in cardiology which is the most profound and preferred source for acquiring, imparting and sharing knowledge. The entire cardiology community in India together contributes to this ocean of knowledge and making it available on your fingertips. Cardiositeindia invites you all to join us and be our partners in this mission.";1
"Do you do not understand the policy wording of purchased Health insurance policy !!! Ab aasaan hai. Do you face difficulty during cashless and reimbursements of claims !!! Ab aasaan hai. Aasaan Bhai coming soon to a Hospital near you and to your handset to make your life Aasaan for all Health needs !!!";0
"A workshop for healthcare professionals conceived by the Infant Nutrition franchise at Nestl   Middle East and assembled with the core ambition to launch Human Milk Oligosaccharides in this region.
 
Human milk oligosaccharides (HMOs) are diverse, biologically active components in breast milk that beneficially modulate the infant microbiota as well as gut, immune, and potentially neurological development. It is now possible to produce large quantities of HMOs enabling supplementation to infant formula, with the goal of supporting the gut microbiota composition.
 
This workshop promises to bring together international and regional experts and researchers in the field of infant nutrition to share the latest evidence-based updates and discuss future goals in infant nutrition.";1
"This is the official App for BERA Conference 2018 which will be held at the Northumbria University, Newcastle, 11 - 13 September.
This mobile app allows you to:
-View the full agenda and related information (event time, room location, speaker info, etc.)
-Create your own personal agenda with the sessions you love most.
-Access all speaker information at your fingertips.
-Sponsors booth location and information.
-Twitter Timeline to get a a real-time feed of all event activity that showcases what is trending, most popular photos, and popular discussion topics.
-Explore the sessions going on with the ""Now Happening"" feature, you will not  miss anything.
-Floor's map to find faster what you like.
-Venue Information
and many more features";0
"This is a practically oriented ready reckoner to the practising paediatricians and paediatric postgraduates . This Application guides you on the outline of paediatric surgery problems commonly encountered & how to tackle them . Protocols keep changing frequently & Any change in protocols followed worldwide will be updated then & there. Any delay & print errors shouldn t come in the way of proper patient management. This app gives an overall outline on the common paediatric surgery problems encountered in paediatric office practice. It guides you the primary stabilisation of paediatric surgery problems and how to diagnose and refer to the paediatric surgeon .
This app provides a chat corner also for the practitioners to enable a live discussion on the surgical problems that they tackle .
This ebooklet cannot replace a standard textbook & may not give all the exam related points in the chapter. No doctor  patient relationship is entertained through this application. Interpretation of clinical signs is subjective and Everyone should take the help of their colleague   paediatric surgeon in there own places for guidance & supervision for any procedures . You hereby acknowledge that any reliance upon any materials shall be at your sole risk. Content owner reserves the right, in it's sole discretion and without any obligation, to make improvements to, or correct any error or omissions in any portion of the service or the materials. Downloading the copyrighted content or images from the app is strictly prohibited.";1
"The Immediate Urgent Care app allows patients to quickly and conveniently find the nearest location. Each location features hours of operation, services available and contact information. Patients can also compare local pharmacies and get free coupons to save on their prescriptions. Save hundreds on your medication costs, regardless of coverage status.";1
"PAM, the Photograph Affect Meter is a one-touch assessment of mood and emotional state. Developed by JP Pollak, Phil Adams, and Geri Gay from Cornell Tech and Cornell University, PAM has been rigorously validated as a measure of affect, intended for frequent or expeditious use where longer form measures such as PANAS or POMS are not feasible.";0
"Babydoc For Doctor is an app for the doctors or health professionals who can manage the appointments schedules with the patient for a particular hospital. This is a mobile version of the web portal avaialable for babydoc.";0
"Envision Referrer Access is used to access reports and images that have been sent to referring medical practitioners by Envision Medical Imaging.  Users are required to be registered with Medinexus to gain access to the system.  If you already have a Medinexus Web Portal username and password, this can be used to log into this app.  If you need to register, call the number shown on your login screen.  Please note there is no charge to use this application.

Envision Referrer Access allows you to view reports sent to you as well as view the associated key images by clicking on the  View Images  button at the bottom of each report.  You are able to forward reports to other registered users by selecting the Forward Tab when you are viewing a report and choosing a user to forward it to.
The inbox will show all unread reports and reports that you viewed less than 24 hours ago.  If you wish to view a report not in the inbox (already read) click on the Search Tab next to the Inbox tab and you will be able to search for specific reports.  The Inbox shows the same information as the browser based web portal shows.
Please note that you must accept the terms and conditions of use before you can login and use the application for the first time.";1
"Hematology for GP is a clinical decision app, to assist General Practitioners in screening patients for hematology. For each pathology, the app employs quick decision algorithms to determine case urgency, also providing guidance for investigations in non-urgent referrals.

The aim is to facilitate better care to patients, streamlining the practitioners  workload and standardizing preliminary investigations, thus optimizing the referral procedure.";1
"Support application for the Karma breast cancer study 

The app is intended for participants in a specific breast cancer study named KARMA (http://karmastudien.se/).";1
"This is the official Instituto Fern ndez-Vega's application and it includes the following features: 

-Instituto Fern ndez-Vega general information
-Medical staff 
-Information about our facilities
-Weather information in Oviedo
-Tests to check your vision
-Ophthalmological encyclopedia
-Contact information

For generations, Fern ndez-Vega Ophthalmological Institute is a reference in ophthalmology, combining more than a hundred and twenty five years of experience with the latest advances in research and treatment of eye diseases.

Our center has become a national and international reference thanks to the efforts and dedication to our ideals. Much of this credit is attributed to the expertise of our medical team, led by Professor D. Luis Fern ndez-Vega Sanz, Professor of Ophthalmology at University of Oviedo, who coordinates prestigious professionals of every specialty in ophthalmology. The other members of Fern ndez-Vega family are among those professionals.

The staff working with this team consists of receptionists who have diplomas in optics and optometry, diagnostic technicians, computer specialists, nursing college graduates and many others, devotes an ongoing effort to care for our patients with the aim of guaranteeing their satisfaction.
 
Each year, more than 100,000 people in Spain and other countries come to the Fern ndez-Vega Ophthalmological Institute to treat their eye problems.";1
"AntiMosquito application helps your phone to become an effective mosquito repellent device. This app prevents mosquitoes from biting you by emitting high frequency ultrasound from your phone. These high frequency sounds are beyond the hearing sense of human ears and repels mosquitos away from the source of the sound

This free mosquito repellent app is simple to use. Just install it and start the emission of your selected frequency sounds. 
Mosquito repellent generates powerful high frequency sounds that mimic sounds of mosquito s natural predators.

The main features of this application are: 

- Its not noisy. 
- Anti mosquito simple, easy to use. 
- Non-toxic to humans, domestic animals in your family. 
- Anti mosquito perfect, the frequency can be adjusted accordingly. 
- Applications can run in parallel with other applications, notification bar, you can still use your phone normally with other features. 
- You can turn off the screen and can run Anti Mosquito while running other application
- Install Mosquito repellent application on the phone and is free to use.
- You can use this app in background.
Disclaimer:
AntiMosquito does not guarantee a 100% protection as there are over 3500 known mosquito species in the world and they all react slightly different to the repellent. Use the pitch selector to find optimal repelling frequency for the mosquitoes in your region.";0
"Easy access to most-used clinical nutrition calculators, excerpts from popular A.S.P.E.N. guidelines, and more conveniently in your pocket. This app is for A.S.P.E.N. members only. *Please note that a login is required to use this app.";1
"Circulation Journals is going mobile! Circulation Journal is one of the most trusted journals in Japan. You can now access the full text of CJ from your iPad. 


*Easily navigate to past 10 years issues wirelessly 
*Monthly updates at the same day of the journal issue
*Quick search with touching keyword or author 
*Search in detail by Text, Abstract, Title, Author, Year, Vol., DOI
*View the issues in PDF format 
*Bookmark key articles and take notes for follow-up later";1
"Diabetic Care app gives you an easy way to monitor,record, analyses and control your diabetes.

- Recording  blood glucose results and daily activities that have impact on blood glucose levels such as meals,exercises,medication.

-This app also let you to record your daily meals,exercises,medications,weights etc.

-Recording blood pressure and Pulse would help you to monitor your blood pressure and to analyst it.";1
"Pocket directory for Providers for Children's Hospital of Wisconsin. Search by name, specialty, or location. Provides specialties, practices, and locations for Providers. Use the app to contact other Providers for referrals and for keeping up on the latest information from Children's Hospital of Wisconsin.";1
"This is a detailed procedure log for interventional, peripheral vascular, and structural fellows, cath lab technologist and attendings designed by an interventional cardiologist. This app is the only app on the market to include a detailed list of procedures including but not limited to carotid stenting (with proximal and/or distal protection), Impella, TAVR, and EKOS. Case entry is designed with radio buttons to maximize data input efficiency for the busy interventionalist that moves continuously throughout the day from case to case. Input fields include patient medical record number, hospital, attending physician, referring physician, and a note section to allow the user to free text specific information about the procedure. This database is searchable and can be exported to a password protected Excel spreadsheet to your secure e-mail or desktop.

**Database is stored on your device.  Please download InterventionalProLog Cloud if you desire cloud-based backup.**";1
"Dear Colleagues,
We are honored to invite you to attend the 25th International Medical Sciences Student Congress (IMSSC) that will be held in 13-14-15 May 2016 in Istanbul,Turkey. IMSSC was the first student congress of medical sciences and since 2006, it is organized by Istanbul University Istanbul Faculty of Medicine biannually.
The congress aims to bring together the inquisitive research students from all around the world and to provide them an international platform to share research findings on various themes in the field of Medicine. IMSSC 2016 will also provide a valuable opportunity for researchers to exchange their ideas about their projects.There will be oral and poster presentations accompanied by useful workshops. During the congress you can also enjoy the city of  stanbul which is unique for its cultural heritage, geographical location, artistic and historical richness.
Soon you will be able to access our website, and formalize your registration as well as to obtain all the complementary information. We look forward to welcoming you in Istanbul in IMSSC 2016.";0
"Welcome to IMA Faridabad. This is a Local branch of Indain Medical Association, which is made up of Graduates in Modern Medicine ,having a minimum Degree of MBBS. It has jurisdiction over the area of Faridabad Municipal Corporation";0
"Quickly find and get to the highest rated dispensaries, doctors and cannabis related events.  Just pull up the map and see what is near by.  Instantly tap for GPS directions from your precise location.
Distances to everything is automatically calculated upon starting app.
Just tap and go!

Features:
-Map - Find Premium Cannabis Services
-Places Nearby
-Events Nearby
-CannaHunt Go
-Submit a Place/Event
-News
-Shop (Shirts,Stickers,CBD's, etc)

w/ Free Account:
-Profile
-Rate Places
-Leave Comments/Reviews
-Save your Favorite Places
-Ask Question / Post Comments to community

-------------------------------------------
CannaMaps
https://CannaMaps.com

 Find safe access to the best places for your therapeutic cannabis needs.";0
"Multi-Party Video Application for conducting HiTech-Doctors medical consultations, launched from our HiTech-Doctors website, using your iOS mobile device.";1
"AE Reporter is an enterprise app that allows medical sales representatives, healthcare professionals and patients to quickly and easily report any adverse events associated with a pharmaceutical product, for the attention of a doctor, pharmaceutical company or regulator.

The app sends reports to a validated pharmacovigilance database dedicated to each customer organisation.  When first downloaded, the App allows practice reports to be sent (and viewed on-line) for training and evaluation purposes.  To send live reports, individual users are issued with a unique username and password for the App (after the customer contracts for processing of reports sent to the database).

Features and benefits of the app include:
    Prospectively validated to regulatory (GxP) standards
    Very easy to use   a basic report can be sent in 45 seconds
    Enter minimum data or fuller reports as circumstances require
    Colour highlighting of missing mandatory data
    Extensive use of spinners and pick-lists to enhance data entry
    Look up and auto-enter healthcare professional contact details
    Look-up and auto-enter customisable drug and reaction details (data not included)
    Enter multiple drugs and reactions
    Saves multiple reports if network unavailable, for later transmission
    Reminders for reports waiting to be transmitted
    History of reports sent and waiting
    Data are encrypted in storage and transmission
    User and remote database are both authenticated
    Provides automated password changes and other security measures";1
"A unique reference database of blood group antigens and antibody characteristics for immunohematology/blood bank.";1
"The Tennessee Clean Water Network (TCWN) brings you Brining Tap Back, a mobile phone app to allow to you find the nearest drinking fountain, bottle refill station, or dog bowl in your area.";0
"Get simple and relevant suggestions each day to help you adapt to life after breast cancer treatment. Breast Cancer Care s app (BECCA) helps you find tips about symptoms, exercise, food, beauty, hobbies and knowing what s normal for you. BECCA will help you feel healthier, happier and able to move on after your breast cancer diagnosis.

Who is BECCA for?

When you ve finished breast cancer treatment it can be difficult to get back to  normal . You may feel angry, sad, tired, anxious, stressed or depressed, while your friends and family may think you re alright and able to move on. You may struggle to find relevant and trustworthy advice online, which can make you feel uncertain about how to move forward after breast cancer.

People who ve used the app say they feel healthier, more able to cope and above all, happier.

Features

  BECCA has been developed by healthcare professionals and people like you who are living with breast cancer.
  Bitesize, tailored support
  Delivered directly to your tablet or mobile phone, at any time you need it.

Breast Cancer Care is the only UK-wide charity providing specialist support and tailored information for anyone affected by breast cancer. Our clinical expertise and emotional support networks help many thousands of people every day to find a way to live with, through and beyond breast cancer.

 I have two small children, so I feel it s really important that I find a way to move forward from what I have been through and enjoy life again. BECCA has really helped me to start living in the moment. 
- Kim Hulme

 Being a bit of a technophobe, I found the app quite easy to use. It also directed me to relevant and trustworthy sites that helped me answer some of my queries with good advice and ideas to help me cope. 
- July Honey

 I found the BECCA App to be inspiring, full of helpful advice, some of which I have taken on board, packed with lots of useful information and suggestions. A must-have for anyone to help them move forward after breast cancer treatment. 
- Betty Hart";1
"ChatBunker is a secure, HIPAA compliant communications and scheduling system for doctors and healthcare professionals working within and across practices. By providing a fast and secure platform accessible from anywhere, ChatBunker hopes to be the low-cost provider of choice for HIPAA compliant communication. Our goal is to make Chatbunker the number 1 choice among healthcare professionals for low-cost HIPPA compliant communication.";1
"The AGXR Attune app is compatible with the following hearing aids: 
AGXR T-series
AGXR N-series

The AGXR Attune app lets you control your hearing aids directly from your mobile device. You can change programs, and make simple or more advanced sound adjustments and save them as favorites. The app helps you learn what you can do and how to do it. It can even help you find your hearing aids if you lose them. Last, but not least, you can have your hearing care professional update your hearing aid programs and send you new hearing aid software without taking a trip to the clinic.
Notes: We recommend that the hearing aids run the latest software version. If in doubt, please contact your hearing care professional.
AGXR Attune mobile device compatibility:

Please consult the AGXR app website for up-to-date compatibility information: www.agxhearing.com/agx-hearing-technology/agxr-series/attune 

Use the AGXR Attune app to: 
 	Enjoy optimization anywhere with Audigy Assist: Request help with your hearing aid settings from your hearing care professional and receive new settings and software updates. 
And use these direct control and personalization options:
 	Adjust volume settings on your hearing aids
 	Mute your hearing aids
 	Adjust volume of your Audigy streaming accessories
 	Adjust speech focus as well as noise and wind-noise levels with Sound Enhancer (for selected programs and hearing aids)
 	Change manual and streamer programs
 	Edit and personalize program names 
 	Adjust treble, middle and bass tones to your preferences
 	Save your preferred settings as a Favorite   you can even tag to a location
 	Help locate lost or misplaced hearing aids
 	Tinnitus manager: Adjust sound variation and frequency of the Tinnitus Sound Generator. Select Nature Sounds. (Features available in your hearing aids if enabled by your hearing care professional.)

For more information and help, please visit www.agxhearing.com/agx-hearing-technology/agxr-series/attune

Privacy policy
Please view our privacy policy in the link provided: www.agxhearing.com/agx-hearing-technology/agxr-series/attune
Note: Continual use of GPS running in the background can dramatically decrease battery life.";1
"As a chartered physiotherapy clinic Kehoe Physiotherapy and Sports Rehab provide a high standard of care to our clients. Whether you have hurt yourself at home, at work or on the sporting field, chartered physiotherapy will help you recover fast and minimize your chance of re-injury. Our focus is on getting you back doing the things that you love as fast and safely as possible.
We aim to facilitate you to achieve lasting freedom from pain, not just temporary relief. An excessive number of treatments is not the policy of Kehoe Physiotherapy and Sports Rehab Clinic. 

At Kehoe Physiotherapy and Sports Rehab Clinic we will give you the tools you need to get back to action as quickly as possible using the latest, most effective and sport specific exercises. Each client receives the individual time necessary to assess their condition, evaluate the options available and undertake a programme of rehabilitation and treatment using proven evidence based physiotherapy techniques.
This App has Push Notification enabled which allows you to view App messages sent directly from the business straight to your lock screen; Push Notification feature must be enabled for this to work. App contains Integrated Facebook/Twitter feeds.

App contains a Geo-Fencing feature which requires location from the App for it to work.";0
"(BMEC)                                                                                                                                                                :
	 	                                                                                                 
	 	                                                       
	 	                                                                                 


An application for access to information and appointments.
BMEC Center application is providing convenient services for people who use the Bangkok Metropolitan Excellence Endoscopic Center (BMEC) services. To increases the modern look and client satisfactions. This application will help you to: 
	 	Gynecologic Disease / Surgery Consultation and easily make an appointment
	 	Search our location and routes
	 	Search for doctor s names, clinic and office hours and talk directly to our specialists";1
"The ANCA score predicts the end stage renal disease (ESRD) probability in patients with ANCA vasculitis. The three essential input data are: 1. number of normal glomeruli, 2. amount of tubular atrophy and fibrosis and 3. estimated glomerular filtration rate at time of diagnosis. The calculated app output is based on a clinical trial (published in Kidney International 2018).";1
"AcuMobile 3 allows clinicians to view their patient schedule, and capture patient encounters. AcuMobile 3 allows you to work online or offline mode to capture your dictations as you need anywhere anytime. When connected to a cellular or wireless network, AcuMobile 3 will send dictated files to Acusis for transcription, positively impacting turnaround times and the patient - clinician experience. 

Once the dictation is transcribed and proofread, clinicians can list the reports for the current and past dates  and also search for a specific report. The transcribed documentation can be reviewed, accepted or rejected with the touch of a finger.

To use AcuMobile 3, the user must have an account with Acusis with privilege for AcuMobile 3 usage.  

Please contact customer.service@acusis.com for more information.";0
"Bug Wise is a customizable point of care tool for local antimicrobial stewardship, both in hospitals and in primary care medicine. It contains information for both patients as well as healthcare providers relating to infections (diagnosis), microbes and antimicrobials (bugs and drugs), including antibiotics and antifungals. It provides tools to check for - medication interactions including all registered medications in South Africa as well as complementary medicines, - antimicrobial duplications and - supplies current educational information, customised to patients and healthcare providers respectively.
Bug Wise supplies currently available surveillance data for specified locations in private and public healthcare within South Africa, to guide healthcare providers in empiric therapy choices. This function is further supported by treatment and guidelines (where available) for commonly occurring infections. Bug Wise can be used by patients to better understand their diagnosis and antibiotic prescription, as well as the importance of correct use of antibiotics and infection prevention in the fight against antibiotic resistance.";1
"IsoParasite is a new platform for helping veterinarians identify parasites based off of microscope images. Just snap a picture or upload your image and get results in seconds!

The IsoParasite app uses AI image recognition technology to identify parasites in veterinary scope images. You'll be able to see the most likely matched parasite along with symptoms and treatment options.";0
"Want to train with Ady James on his FITLIFE program but just can not get to the AJ Fitness gym?

The Ady James FITLIFE online training and mobile app can help you do just that.  Download the app today and sign up to one his flagship programs.";0
"Drug Gene Budger (DGB) is a web-based application developed to assist investigators with prioritizing small molecules that are predicted to maximally influence the expression of their gene of interest. With DGB, users can enter a gene human symbol, and whether they wish to upregulate or downregulate its expression. The output of the application is a ranked list of small molecules that have been experimentally determined to produce the desired expression effect. The output table includes log-transformed fold changes and p-values for each small molecule, reporting the significance of differential expression as determined by the limma method. Relevant links are provided to further explore knowledge about the target gene, the small molecule, and the source of evidence from which the relationship between the small molecule and the target gene was derived. The experimental data contained within DGB is compiled from signatures extracted from the LINCS L1000 dataset, the Gene Expression Omnibus (GEO), and the original Affymetrix Connectivity Map. DGB provides a useful preliminary technique for identifying small molecules that can target the expression of single genes in mammalian cells.";1
"Those who drive CMVs, busses, and more need to show that they are healthy. DOT Certified Medical Examiners are those who have gone through the training and certification needed to be recognized by the Department of Transportation as a medical professional who can carry out the exams on these drivers.

App Features:
 	2018 Latest Update
 	Two Exam Modes: Virtual Mode, and Study Mode
 	Quick Knowledge Mode
 	Review Your Answers
 	Well Researched Questions
 	Auto Save Exam
 	Progress Log
 	Smart Filters
 	Create Custom Exams
 	Bookmark Questions
 	Based on 2018 Syllabus 
 	Unique Questions
 	No Additional Purchases or Subscriptions
 	No Internet Connection is required 
 	Free Feature Updates
 	Highest Passing Rate!

DISCLAIMER:
---
Learn & Train is Not Affiliated With Respected Testing Agency, Test/Exam Name or Any Trademark.";0
"Family Nurse Practitioners (FNP) are advanced practice registered nurses who work autonomously or in collaboration with other healthcare professionals to deliver family-focused care. Given the rather broad nature of the  family  patient population focus, FNPs offer a wide range of healthcare services that revolve around the family unit; from health promotion and disease prevention to direct care and counseling across the lifespan.

App Features:
 	2018 Latest Update
 	Two Exam Modes: Virtual Mode, and Study Mode
 	Quick Knowledge Mode
 	Review Your Answers
 	Well Researched Questions
 	Auto Save Exam
 	Progress Log
 	Smart Filters
 	Create Custom Exams
 	Bookmark Questions
 	Based on 2018 Syllabus 
 	Unique Questions
 	No Additional Purchases or Subscriptions
 	No Internet Connection is required 
 	Free Feature Updates
 	Highest Passing Rate!

DISCLAIMER:
---
Learn & Train is Not Affiliated With Respected Testing Agency, Test/Exam Name or Any Trademark.";0
"Concept

Cervical spine surgery is a rapidly developing field of neurosurgery, orthopedics and traumatology. Degenerative disorders in particular are treated more and more frequently by surgery. There is a variety of methods and implants available. Surgeons have the choice to treat the patient in one or more levels, by anterior or posterior approach and different types of implant systems. Especially the most modern motion preservation technologies are frequently discussed and considered as alternative treatment option.

Not for use in the USA.";1
"Exercise and rest, an essential part of a modern busy lifestyle

[Archon] will help you keep it on track:
1 - More satisfactory workouts: steps, distance, and calories burned information at your fingertips
2 - Safeguarded workout history: confidential workout history securely kept and locked away
3 - Convenience by your side: the wristband will always be on hand to keep a watchful eye on your health.

This App now works with a bike sensor, and can record the speed, cadence, time, location, altitude, course, etc. during a biking exercise.  iPhone's GPS is required to record the location, altitude and course.

Note: Continued use of GPS running in the background can dramatically decrease battery life.";0
"This small app allows calculation of Disease Activity Score 28 for evaluation of disease activity and disease progress in rheumatoid arthritis.";1
"This app has been designed to calculate B.E.D.(biological effective dose) based on LQ model.


You can use This application only for academic purposes.
Do not use for clinical decision making.";1
"You can now access your Docplanner agenda from your smartphone! This brand new app is faster, easier to use and more intuitive. With the Docplanner app you will be able to check your bookings, create new appointments or view all your patients  information in one single place.
 
What can I use this app for?
See a summary of all your appointments for today
Create new appointments at the time of your choice with just one click
Access to the basic information of all your patients
 
If you have any doubt about how to use this app (or would like to suggest any new feature you d like to have), please contact us at support-uk@doctoralia.com. We'll be happy to help!";0
"We've been serving the communities of Oak Creek, Phippsburg, Steamboat Springs, Stagecoach, Yampa, Toponas, and Routt County. Our pharmacist has 35 years of experience and our friendly staff will treat you like family. Here at Bonfiglio Drug, we are dedicated to providing our customers with services that are customized to meet their needs. Whether its prescription medications or over the counter products, we are here to answer any and all of your questions. If you haven't taken advantage of one of our many services, call or stop by and see us today!

Our App Features:
- Medication Refills: Easily refill your prescriptions on the go
- Refill Reminders: Save time on your next refill with a reminder and refill with a single tap
- Medication Reminders: Never forget to take your medications again
- Co-Pay Coupons: Save up to $450 on top brand medications
- Touch-to-Call: Connect with us at the touch of a button
- Medication Videos: learn about your medications
- Video Health News: doctor and pharmacist reviewed news videos and articles
- Visit Prep: health questionnaires to help your pharmacist or doctor better treat you
- Ask the Pharmacist: submit to our pharmacists
- Favorites: bookmark your favorite articles and conditions
- Automatic Updates: access breaking news with automatic content updates";1
