"";"FiveStars";"FourStars";"ThreeStars";"TwoStars";"OneStar";"Urldev";"IDdev";"keywords";"languages";"Size";"AppID";"Name";"AppURL";"description";"average.rating";"category";"pegi";"devname";"price";"version";"lastupdate"
"11";"88%";"8%";"2%";"0%";"2%";"https://itunes.apple.com/us/developer/cedars-sinai-medical-center/id669212063?mt=8";"669212063";"Cedars-Sinai, Cedars-Sinai Medical Center, Medical, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"English, Arabic, Danish, Dutch, Finnish, French, German, Spanish, Swedish";"172.7 MB";1034088603;"Cedars-Sinai ";"https://itunes.apple.com/us/app/cedars-sinai/id1034088603?mt=8";"The Cedars-Sinai app is your complete resource for managing your medical records, connecting with your care team and exploring all Cedars-Sinai has to offer. Consumers perennially name Cedars-Sinai one of the top hospitals in Los Angeles.App FeaturesStay ConnectedCommunicate with your doctor, check lab results, schedule appointments, track your health and more.Find a DoctorFind the doctor who’s right for you based on specialty, condition or location, or just search by their name.Location InformationGet directions to the nearest Cedars-Sinai urgent care, hospital or medical office. Looking for a bite to eat near the hospital? The app can help with that, too.Apple Health ConnectivityUsing your My CS-Link account, download your health record to Apple Health and take it with you wherever you go and access the information anytime.  When you connect your My CS-Link account to Apple Health, you can add information to your medical record like steps, blood pleasure, glucose levels and BMI.Contact UsThe Cedars-Sinai app provides contact information for all of our departments and services. Cedars-Sinai is available to take your call 24 hours a day, 7 days a week.If you do not already have a My CS-Link account, please go to https://patients.mycslink.org/mycslink";NA;"Medical";4;"Cedars-Sinai Medical Center";0;"5.39";1538352000
"12";NA;NA;NA;NA;NA;"https://itunes.apple.com/us/developer/panvision-gmbh/id468371441?mt=8";"468371441";"Celtra Press Ceramic Guide App, Panvision GmbH, Medical, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"English";"38.5 MB";1320802871;"Celtra Press Ceramic Guide App ";"https://itunes.apple.com/us/app/celtra-press-ceramic-guide-app/id1320802871?mt=8";"The new Celtra Press Shade app supports the dental technician to achieve the desired tooth shade of the patient when creating the Celtra restoration. The app recommends the appropriate Celtra ingot and the choice of components for the stain or layer technique of Celtra Ceram.Simply select the tooth shade to get an overview of the corresponding ceramic materials immediately. This ensure reproducible results for your patients. The results can be saved and retrieved in a patient case database.";NA;"Medical";17;"Panvision GmbH";0;"1.3";1531180800
"13";NA;NA;NA;NA;NA;"https://itunes.apple.com/us/developer/cemup-inc/id1064627164?mt=8";"1064627164";"CemUP Pro Coaching, CemUP Inc, Health & Fitness, Sports, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"English";"20.6 MB";1086433462;"CemUP Pro Coaching ";"https://itunes.apple.com/us/app/cemup-pro-coaching/id1086433462?mt=8";"CemUP is a fast-growing social marketplace for professional sports coaches to easily build their business and app and sell their services online, while effectively managing athletes, including their goals, workouts and performance, with the latest digital, social, collaborative, and wearable technologies. Pro coaches, including nutritionists, are able to easily create, share, manage, market, and sell their multimedia coaching services anywhere from their computer, tablet and smartphone, while effectively collaborating with and managing athletes. Athletes, including fans and corporate employees, can easily share their performance analytics from wearable trackers with pro coaches and buy pro coaching services to improve their performance and become next generation champions.";NA;"Health & Fitness";12;"CemUP INC";0;"0.1.9";1515715200
"14";NA;NA;NA;NA;NA;"https://itunes.apple.com/us/developer/mindbody-incorporated/id472317932?mt=8";"472317932";"Centennial Health Club, MINDBODY, Incorporated, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese";"78.8 MB";1085137290;"Centennial Health Club ";"https://itunes.apple.com/us/app/centennial-health-club/id1085137290?mt=8";"Download the Centennial Health Club App today to plan and schedule your classes! From this mobile App you can view class schedules, sign-up for classes, view ongoing promotions, as well as view the studio’s location and contact information. You can also click through to our social pages! Optimize your time and maximize the convenience of signing up for classes from your device! Download this App today!";NA;"Health & Fitness";4;"MINDBODY, Incorporated";0;"4.2.1";1529452800
"15";"83%";"7%";"5%";"2%";"3%";"https://itunes.apple.com/us/developer/center-health-inc/id1316635468?mt=8";"1316635468";"Center Health—The Diabetes App, Center Health Inc, Medical, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"English";"25 MB";1231963619;"Center Health—The Diabetes App ";"https://itunes.apple.com/us/app/center-health-the-diabetes-app/id1231963619?mt=8";"See all of your data in one place • Sync CGMs + fitness trackers • Search carbs • Your very own virtual assistant • All for free!* * *Welcome to Center Health for iOS!+ Beautiful, easy to use apps for iOS and web+ Real-time stats — make quicker, more accurate decisions based on your current status+ Trend analysis — keep an eye on your overall trends with daily, weekly, monthly, and quarterly stats+ Offline support — use Center seamlessly when travelling or low signal conditions!+ Estimated HbA1C — no more guesswork or unwelcome surprises+ Logbook view — complement your sleek dashboard with a traditional timeline view+ Full integration with Apple Health — import blood sugar, meals, exercise, and sleep in real-time+ Advanced food logging — automated carb counting, barcode scanning, and ingredient search from our comprehensive nutritional database+ Dexcom API sync — import CGM readings, meals, insulin, and exercise in real-time+ Manual logging done right — log everything from blood sugar, insulin, and carbs, to exercise, sleep, feelings, and more, without frustration+ Spreadsheet imports — upload data from a variety of sources, including other diabetes apps and devices like Dexcom CGMs and the FreeStyle Libre+ Real-time sync — pick up where you left off on all of your devices* * *This is just the start! We're hard at work on a number of amazing features.We live for feedback. Please don't hesitate to get in touch with any ideas, questions, or issues, via email or on social media:Email: yourfriends@center.healthFacebook: https://www.facebook.com/centerhealthappTwitter: https://twitter.com/centerhealth_Instagram: https://www.instagram.com/centerhealth_Snapchat: https://www.snapchat.com/add/centerhealthSee you soon <3";NA;"Medical";4;"Center Health Incorporated";0;"2.25.3";1537401600
"16";NA;NA;NA;NA;NA;"https://itunes.apple.com/us/developer/personal-remedies-llc/id555049180?mt=8";"555049180";"Cervical Cancer, Personal Remedies, LLC, Medical, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"English";"1.4 MB";865555091;"Cervical Cancer ";"https://itunes.apple.com/us/app/cervical-cancer/id865555091?mt=8";"Choose This not That for Cervical Cancer. Inside this colorful app, you will find easy to follow suggestions on how to improve your health through nutrition and the food choices you make every day. This app provides comprehensive and actionable nutrition guidelines for how to reduce your risk, prevent and combat Cervical Cancer. If you rather tackle health issues and risks through proper nutrition and lifestyle changes then this app is for you! Last data update: June 2017.A number of powerful, unique and interactive features make this app so different and superior to others in the market:• Is this food good for me? This feature answers the common question about suitability of various food items for your personal situation. And it does so in an easy to understand and colorful graphic form.• Health issues often come our way in groups of two or more. They are often caused by other health complications or result in other illnesses and risks. It is for that reason, that we have included separate guidelines for those who might be at risk with any of the following common conditions along with Cervical Cancer: depression, gout, high blood pressure, high cholesterol, obesity, stress and Vitamin D deficiency. Also included are separate guidelines for detoxification, and anti-inflammation & alkaline diets.• Top-5 recommendations on what to eat/do, and what not to.• Food Suggestions. The best food choices within a food group, based on your personal profile. An extremely valuable tool when at restaurants or when grocery shopping. Also included are suggestions on appropriate life style choices, alternative therapies and herbal remedies, when such options are promising and available to you.• ACTIONABLE information on what is good, what is bad, and what is neutral for your condition(s). We single out specific food items, and give you an ordered list of helpful and harmful foods within each food group. Suggestions presented in this app are based on the content licensed from Personal Remedies, LLC. The primary sources used by Personal Remedies are US government sources such as USDA (US Department of Agriculture), NIH (National Institute of Health) agencies, and leading clinics & universities.Personal Remedies is the publisher of the largest collection of health and nutrition apps for chronic conditions in the market. It is based in metro-Boston, home to the highest ranking healthcare providers and academic institutions in the world.This app is updated by our team on an ongoing basis. Updates happen seamlessly, and do NOT require frequent inconvenient downloads.“This technology was developed using the most current clinical evidence-based information that is available in the US. Behind this technology there is a team of expert clinicians, scientists, endocrinologists, oncologists, and other specialists who are passionate about bridging the gap between expert knowledge and the patient.“ Katya Tsaioun, PhD, Nutrition, Tufts University; L.D.N. “Proper nutrition and other alternative treatments show great promise in preventing and treating many of the illnesses that we deal with every day. I encourage all my patients to follow appropriate nutrition and research other options for themselves. The Choose This Not That series are an excellent step towards improving people’s knowledge in this area.”Shahin Tabatabaei, MDMass General Hospital; Harvard Medical School“The Choose This Not That series of apps provide dietary recommendations focused on common chronic health problems. They are easy to understand and thus easy to implement into daily life. Most doctors would find it difficult to discuss dietary recommendations at the level of detail found in the series. They should serve as a valuable complement in helping people manage chronic illnesses through dietary and lifestyle modifications.”Andrew S. Lenhardt, MD Lahey Clinic, Hamilton, MA";NA;"Medical";12;"Personal Remedies, LLC";3,99;"2.6";1478822400
"17";NA;NA;NA;NA;NA;"https://itunes.apple.com/us/developer/brett-rosenthal/id482493310?mt=8";"482493310";"Cervical Myelopathy StudyGroup, Brett Rosenthal, Medical, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"English";"58 MB";1239079627;"Cervical Myelopathy StudyGroup ";"https://itunes.apple.com/us/app/cervical-myelopathy-studygroup/id1239079627?mt=8";"The Cervical Myelopathy Study Group - Standardized Exam is a standardized testing platform for cervical myelopathy patients. Test results are recorded and sent to the institution's email in table format.This exam application includes standardized metrics including: a proprietary Fine Motor Skills test, the modified Japanese Orthopaedic Association (mJOA), and a visual analog quality of life scale. Together, these scores allow for robust data capture of a patient's objective and subjective function levels and quality of life.Prior to initiating a clinical study using this application, please email brett.david.rosenthal@gmail.com to discuss terms of use. By using this application for clinical or diagnostic purposes, you acknowledge that the developers are not responsible for any treatment decisions made based on the results of this testing.";NA;"Medical";4;"Brett Rosenthal";0;"2.2";1536710400
"18";NA;NA;NA;NA;NA;"https://itunes.apple.com/us/developer/mindbody-incorporated/id472317932?mt=8";"472317932";"CFZ / CFL, MINDBODY, Incorporated, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese";"67.4 MB";1137160744;"CFZ / CFL ";"https://itunes.apple.com/us/app/cfz-cfl/id1137160744?mt=8";"Download the CFZ / CFL App today to plan and schedule your classes! From this mobile App you can view class schedules, sign-up for classes, view ongoing promotions, as well as view the studio’s location and contact information. You can also click through to our social pages! Optimize your time and maximize the convenience of signing up for classes from your device! Download this App today!";NA;"Health & Fitness";4;"MINDBODY, Incorporated";0;"4.2.1";1529884800
"19";NA;NA;NA;NA;NA;"https://itunes.apple.com/us/developer/ocean-thinkit/id1392908612?mt=8";"1392908612";"Cha Cha Moon, Ocean ThinkIT, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"English";"89.4 MB";1434652281;"Cha Cha Moon ";"https://itunes.apple.com/us/app/cha-cha-moon/id1434652281?mt=8";"With our app you can check out your subscription, meal plans, training plans, reserve a group or individual training.";NA;"Health & Fitness";4;"Ocean ThinkIT doo";0;NA;NA
"20";"52%";"28%";"7%";"6%";"6%";"https://itunes.apple.com/us/developer/equilibrium-srl/id546309406?mt=8";"546309406";"Chakra Meditation Balancing - Healing Meditation Music for Solar Plexus Stress Relief and Third Eye, Equilibrium Srl, Health & Fitness, Lifestyle, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"English";"14.7 MB";886156937;"Chakra Meditation Balancing - Healing Meditation Music for Solar Plexus Stress Relief and Third Eye ";"https://itunes.apple.com/us/app/chakra-meditation-balancing-healing-meditation-music/id886156937?mt=8";"What is Chakra Meditation Balancing?We created this FREE app to help you heal your Chakras. Chakras are energy centers located through your physical body; the most important ones are 7, and they influence your life flow.In order to live a balanced life, you must maintain your Chakras in constant balance. When one of them is closed, the others will compensate by opening up more and this will create unbalance in your body, as well as unbalance in your spirit.How to Balance your Chakras?Each Chakra is associated with different colors and different sounds. Certain stones can tune your Chakras and allow energy to flow through them.The same can be done with certain wave frequencies. Chakra Meditation was devised and studied to help you tune your Chakras through meditation. Just tap once the buttons and a soft tune related to that Chakra will start. Tap again to stop it.We put a lot of passion in creating this app, and decided to make it FREE so that everyone can enjoy it and use it to improve their spiritual life.For a better experience and to truly enjoy the high quality of the music, we recommend using headphones instead of speakers.*Chakra Meditation Includes*- 7 HIGH QUALITY tunes, specifically created for each of the 7 most important Chakras- A detailed information page on each of the Chakras, useful to remind what energy centers of the body they influence, their location and their name.- The screen will change color once you select a specific Chakra, aiding you in your meditation.- High definition background, created for iPad Retina display but available on all Apple devices.- For a brief overview of how to use the App, just tap the Question button on the lower right side of the screen for help.Here are some reviews for Chakra Meditation Balancing:••••• This app has literally and figuratively assisted in changing my perspective on life! (from Mother~Nature~Wanna~Be!)••••• This app is very beautiful and the music has so much relaxation in it. It's a peaceful app (from Jayy Anne)••••• Perfect!! Quick timed meditation at my finger tips!!! Great for travel or the office (from Momanator)••••• After I downloaded the App, I started listening to the sounds just to hear what it sounds like. By the time I got to the fifth sound from the top I was in a deep meditative state. I was overwhelmed with happiness, love and joy. I also became grateful for everything in life. Thank you (from Marko_Ras)Thanks to everybody, we are working to make Chakra Meditation Balancing even better!For any suggestions, problems or requests, please contact us at equilibriumapps@gmail.com";NA;"Health & Fitness";4;"Equilibrium Srl";0;"1.3";1437696000
"21";NA;NA;NA;NA;NA;"https://itunes.apple.com/us/developer/aph-international/id408257817?mt=8";"408257817";"Change Quotes - Words About Being Different, APH International, Lifestyle, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"English";"17.9 MB";1107422358;"Change Quotes - Words About Being Different ";"https://itunes.apple.com/us/app/change-quotes-words-about-being-different/id1107422358?mt=8";"Enjoy Some Quotes about Changes, making something differentUnique Features of this App* 970 plus quotes * Favorites ( organize the most meaningful quotes)* Randomize ( Randomly find new inspirational quotes)";NA;"Lifestyle";4;"APH International";0,99;"1.0";1461715200
"22";NA;NA;NA;NA;NA;"https://itunes.apple.com/us/developer/rk-anjel/id1275998147?mt=8";"1275998147";"ChangeMe Clinics, Rk Anjel, Medical, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"English";"21.4 MB";1372541057;"ChangeMe Clinics ";"https://itunes.apple.com/us/app/changeme-clinics/id1372541057?mt=8";"Forget about the closed doors, the long lines & the endless waiting lists. There are no more lost hours or efforts in undeeded conversations while waiting for your doctor. Your doctor & your clinic are now available at a click of your finger through this application. Through ""ChangeMe"" you will be able to:1- Find your clinic & doctor. 2- Book your appointment online. 3- Track your examination time & schedule. 4- Have your own profile with your own full medical history. 5- keep a record of all your previous medications & treatments.6- Have a private & direct chat with your doctor to ask him/her any question you need.";NA;"Medical";12;"Rk Anjel";0;"1.0.1";1532822400
